price,estimated_price,price_error,profit,profit_controlled,profit_passive,profit_actual,P_ESS,P_ESS_controlled,P_ESS_passive,P_ESS_actual,SOC_controlled,P_natural_gas,P_natural_gas_actual,P_renewable_absorbed,marginal_price_gas,marginal_price_gas_actual,marginal_price_gas_withoutESS,cost,cost_actual,cost_withoutESS,carbon,carbon_actual,carbon_withoutESS,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_carbon,total_carbon_actual,total_carbon_withoutESS,total_absorb
105.05257775000001,100.80426511483027,-0.040439870454961266,-65489.77696935001,-52526.288875000006,-12963.488094350003,-16204.360117937502,-623.4,-500.0,-123.4,-154.25,0.656037409700724,12554.23333333333,12085.08333333333,0.0,73.02251350048215,70.14753497815997,70.14753497815997,817003.7497579126,783333.6924838034,772513.4352134222,4481.041483450632,4296.373847532352,4236.671937080735,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
120.96995725,121.28534335465318,0.002607144053142199,18492.274131616665,62904.37777,-44412.103638383334,-55515.129547979166,152.86666666666662,520.0,-367.1333333333334,-458.9166666666667,0.4950466976264206,11875.049999999997,12486.83333333333,0.0,70.14753497815997,73.02251350048215,70.14753497815997,768600.3718872238,812082.0323479801,779323.5917342185,4215.081197558146,4453.937463070225,4274.247693793935,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
113.52133708333334,114.5075580630694,0.00868753844056736,-53445.84549883333,0.0,-53445.84549883333,-66807.30687354167,-470.8,0.0,-470.8,-588.5,0.4950466976264206,12185.216666666669,12302.91666666667,0.0,70.14753497815997,72.51561924314397,70.14753497815997,790357.7989862835,798677.2056767242,757332.3395185658,4335.130095829848,4380.413300755148,4152.908640785304,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
112.72511733333334,117.45091784918202,0.04192322552101902,-21184.71311324605,4396.373513598402,-25581.08662684445,-31976.35828355556,-187.9324999999945,39.00083333333886,-226.93333333333337,-283.6666666666667,0.48297213622291013,11856.432499999997,11952.16666666667,0.0,70.14753497815997,70.14753497815997,70.14753497815997,767294.4001547679,774009.9159596233,754111.3985374854,4207.875360813686,4244.928927397114,4135.136759284039,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
113.41012833333333,112.68540937434503,-0.0063902489983807,-6177.071656555556,0.0,-6177.071656555556,-7721.339570694444,-54.46666666666667,0.0,-54.46666666666667,-68.08333333333333,0.48297213622291013,11966.050000000003,11979.66666666667,0.0,70.14753497815997,70.14753497815997,70.14753497815997,774983.7975702368,775938.9731715227,771163.095165093,4250.302421876444,4255.572703976819,4229.221293474943,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
125.65330341666667,130.72491383856988,0.04036193465670974,148857.2801142778,65339.71777666667,83517.56233761113,104396.9529220139,1184.6666666666667,520.0,664.6666666666667,830.8333333333334,0.32198142414860675,12134.666666666666,12488.5,0.0,70.14753497815997,73.02251350048215,73.21363636363637,786811.8410931373,812203.7365371478,872874.5235065044,4315.564899244244,4454.60769107172,4788.715412553173,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
132.27309166666666,133.12449437849548,0.006436703800455409,318478.3319088889,68782.00766666666,249696.3242422222,312120.4053027777,2407.7333333333336,520.0,1887.7333333333333,2359.6666666666665,0.16099071207430335,12993.933333333332,13042.0,0.0,73.02251350048215,73.02251350048215,77.0687083991426,849111.7489440747,852621.6977596646,1028833.2310360741,4657.861034804714,4677.190410367794,5648.287585499348,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
122.99771683333331,125.2280304618367,0.018132967716185663,173951.57099348886,63958.812753333325,109992.75824015554,137490.9478001944,1414.2666666666667,520.0,894.2666666666667,1117.8333333333333,0.0,12665.066666666666,12961.5,0.0,73.02251350048215,73.02251350048215,73.83508222800492,825097.0783375495,846743.3854228759,928912.3021088558,4525.611645549968,4644.818397895647,5096.403524500422,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
78.59691125,78.33602966041053,-0.0033192346294584948,-34667.5807698772,-6205.019309210526,-28462.56146066667,-35578.201825833334,-441.08070175438604,-78.94736842105263,-362.1333333333334,-452.6666666666667,0.022058823529411766,7320.497368421053,7332.083333333333,0.0,68.04554692124721,68.04554692124721,67.90153151218232,453871.4638213655,454659.83714043204,423878.8349982245,2485.478059786924,2489.7737759951133,2321.9744853959382,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
67.88622266666667,68.3885524925776,0.007399584277614939,-75140.99699564444,-33943.111333333334,-41197.88566231111,-51497.35707788889,-1106.8666666666668,-500.0,-606.8666666666667,-758.5833333333334,0.16176470588235295,4230.950000000001,4119.666666666667,237.0,66.88652526387231,66.88652526387231,65.40326881856896,244894.3697706292,237451.01428418123,187024.55590133183,1336.1881075083484,1295.2761213923661,1020.9729197643605,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
50.127750083333325,50.70193871680858,0.011454506386596444,-93849.17370601665,-25063.875041666663,-68785.29866434999,-85981.62333043749,-1872.2,-500.0,-1372.2,-1715.25,0.30147058823529416,4115.7,4109.75,151.0,66.88652526387231,66.88652526387231,64.08503904510133,237185.69773396786,236787.72290864782,124411.1464807415,1293.8178238492173,1291.6303775344943,684.0227876072349,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
36.646700749999994,37.15197266509403,0.013787650859512507,-83688.84894608334,-18323.350374999998,-65365.498571083335,-81706.87321385415,-2283.666666666667,-500.0,-1783.666666666667,-2229.5833333333335,0.44117647058823534,4690.0,4690.0,54.083333333333485,67.02375299763455,67.02375299763455,64.08503904510133,275649.7639116763,275649.7639116763,128635.41863779776,1506.4083240301352,1506.4083240301352,707.3083067936163,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
26.243401583333334,27.60248946751723,0.051787794347780976,-64387.31100465557,-13121.700791666666,-51265.6102129889,-64082.01276623612,-2453.466666666667,-500.0,-1953.466666666667,-2441.8333333333335,0.5808823529411765,4242.5,4242.5,11.633333333333667,66.88652526387231,66.88652526387231,58.59326985271467,245666.90913742688,245666.90913742688,87387.70687765002,1340.4343268251635,1340.4343268251635,480.80985379056494,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
24.49962008333333,25.30628643227957,0.032925667671679544,-49734.22876916666,-12249.810041666666,-37484.41872749999,-46855.52340937499,-2030.0,-500.0,-1530.0,-1912.5,0.7205882352941178,4197.5,4197.5,117.5,66.88652526387231,66.88652526387231,64.08503904510133,242657.0155005526,242657.0155005526,117393.83470530291,1323.8906152012078,1323.8906152012078,645.3411539651297,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
16.122038416666665,16.137736085919773,0.0009736776980308728,-23210.361307194435,-8061.019208333325,-15149.342098861109,-18936.677623576386,-1439.666666666666,-499.99999999999955,-939.6666666666666,-1174.5833333333333,0.8602941176470588,8619.666666666666,8619.666666666666,265.0833333333328,68.53386343827097,68.53386343827097,68.04554692124721,542759.5308351654,542759.5308351654,462348.98394253297,2973.038234667148,2973.038234667148,2531.670668934162,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
34.524643,33.81589757534547,-0.020528682212717704,-21773.541518666665,-17262.3215,-4511.220018666667,-5639.025023333334,-630.6666666666667,-500.0,-130.66666666666669,-163.33333333333334,1.0,8376.166666666666,8376.166666666666,467.33333333333337,68.53386343827097,68.53386343827097,68.50608143191351,526071.5350879465,526071.5350879465,514879.1839196418,2880.695646463251,2880.695646463251,2818.980179423738,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
88.79240658333333,89.13841073600504,0.0038967763797119383,14692.183542655557,0.0,14692.183542655557,18365.229428319446,165.4666666666667,0.0,165.4666666666667,206.83333333333334,1.0,10902.949999999997,10870.58333333333,9.0,69.88353314694594,69.88353314694594,69.88353314694594,700586.7786361198,698324.8816132636,712779.125719157,3841.103796389309,3828.6833704828873,3908.0538573514214,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
117.04158191666666,116.00765974588171,-0.008833802088569612,196415.2813864861,44768.405083125,151646.87630336112,189558.59537920138,1678.1666666666667,382.5,1295.6666666666667,1619.5833333333333,0.881578947368421,13014.583333333336,13073.16666666667,0.0,73.02251350048215,73.02251350048215,75.26966408849565,850619.66384786,854897.5660970965,975030.4576582804,4666.165159743224,4689.723673995729,5352.05290023779,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
124.44184341666666,122.03731210642827,-0.019322530462581804,234813.46240435552,64709.75857666666,170103.70382768888,212629.6297846111,1886.9333333333334,520.0,1366.9333333333334,1708.6666666666667,0.7205882352941176,13508.816666666664,13687.08333333333,0.0,73.83508222800492,73.83508222800492,77.0687083991426,886788.1571130749,899950.4911049205,1028377.2411780456,4865.093360766735,4937.369762604119,5645.807799389967,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
113.86494883333336,117.00514199593525,0.02757822486003365,144213.75319571118,12525.144371666669,131688.6088240445,164610.7610300556,1266.5333333333335,110.0,1156.5333333333335,1445.6666666666667,0.686532507739938,13709.966666666664,13530.83333333333,0.0,73.83508222800492,73.83508222800492,75.26966408849565,901640.0839032381,888413.7595067947,996388.2248433905,4946.647576714322,4874.019793716173,5470.687577467562,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
113.2589268333333,111.4392138333019,-0.01606683950580951,63357.04367056665,0.0,63357.04367056665,79196.30458820831,559.4,0.0,559.4,699.25,0.686532507739938,13633.68333333333,13493.83333333333,0.0,73.83508222800492,73.83508222800492,75.26966408849565,896007.6977139451,885681.8614643586,937420.7155020615,4915.719277236974,4859.018521083507,5143.144376105707,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
114.60789491666667,117.43393899312142,0.02465837173354966,11758.77001845,0.0,11758.77001845,14698.4625230625,102.60000000000001,0.0,102.60000000000001,128.25,0.686532507739938,13338.48333333333,13312.83333333333,0.0,73.21363636363637,73.21363636363637,73.21363636363637,874276.5646428678,872398.6348701405,881788.2837337769,4796.413585057183,4786.1024558285735,4837.658101971621,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
104.16737791666667,104.45782814848565,0.002788303186928126,-55632.32429936111,-52083.68895833333,-3548.635341027778,-4435.794176284722,-534.0666666666667,-500.0,-34.06666666666667,-42.583333333333336,0.8262383900928791,13462.566666666664,12971.08333333333,0.0,73.83508222800492,73.02251350048215,73.02251350048215,883373.2845600296,847443.1845105885,844333.6424773596,4846.341769975903,4648.672208904234,4631.547883466069,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
97.35821,94.30549981102324,-0.031355446951795506,-60835.900155333286,-48679.10499999995,-12156.795155333333,-15195.993944166668,-624.8666666666662,-499.99999999999955,-124.86666666666667,-156.08333333333334,0.9659442724458202,13068.450000000003,12599.66666666667,0.0,73.02251350048215,73.02251350048215,73.02251350048215,854553.1432417526,820321.4059546182,808923.8086390846,4687.826928751501,4499.311898771354,4436.5450464314645,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
118.36416741666669,122.53207284564209,0.03521256069248985,33291.89482206111,61549.36705666668,-28257.472234605564,-35321.84029325695,281.26666666666665,520.0,-238.73333333333335,-298.4166666666667,0.8049535603715168,11123.566666666666,11703.25,0.0,69.88353314694594,70.14753497815997,69.88353314694594,716004.2507738887,756549.0253779761,735660.1591970198,3925.763517153112,4148.586622416574,4033.6971461936746,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
118.62805633333333,123.60865413789163,0.0419849903851018,36790.5145375111,61686.58929333333,-24896.074755822225,-31120.093444777776,310.1333333333333,520.0,-209.86666666666667,-262.3333333333333,0.6439628482972134,10785.450000000003,11357.91666666667,0.0,69.88353314694594,69.88353314694594,69.88353314694594,692375.463491354,732381.4567668757,714048.6765713269,3796.0141966775336,4015.693284748476,3915.0251571650174,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314
