year_month,method,k,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_carbon,total_carbon_actual,total_carbon_withoutESS,total_absorbed,total_natural_gas,rate_gas,carbon_reduce,rate_carbon,skipped_gas_dates,monthly_result,meanstd
202405,self_scheduling,0.2,41821842.383292675,34062957.18272229,37365731.797525324,40262327.9465155,47083418.39192992,686520.3817430241,739810.3088110144,865033.9682748413,176471.46123729326,2338303.0,0.07546988616842781,53289.9270679903,0.072031879568744,,D:\Research\Release_Open\Results\Self-Scheduling\May2024_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202406,self_scheduling,0.2,26289155.8689818,21480449.397126548,69544733.1993182,71416055.79599795,78225814.06624955,1207455.3662802181,1240282.4768985994,1359015.653802883,107753.83550876405,3661462.0,0.029429183071888784,32827.110618381295,0.026467446916179492,20240627,D:\Research\Release_Open\Results\Self-Scheduling\June2024_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202407,self_scheduling,0.2,32672352.913039602,27999191.19316587,201498033.07651675,202543543.23401868,209085693.90047222,3128838.262672468,3145108.3202203824,3246568.7363180667,48166.23333333334,8725403.583333332,0.005520229852214191,16270.05754791433,0.005173131063026237,,D:\Research\Release_Open\Results\Self-Scheduling\July2024_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202408,self_scheduling,0.2,16554059.882857505,13086763.979376106,146400359.91250077,147372809.53367525,150537939.7462639,2453559.838389703,2469889.4707803214,2523361.7197710867,57880.58333333334,6994172.916666667,0.008275543659409336,16329.632390618324,0.006611483057765837,20240829,D:\Research\Release_Open\Results\Self-Scheduling\August2024_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202409,self_scheduling,0.2,21092045.226042353,17202228.096280098,113711062.50257511,115059792.10904314,120363208.2473017,2111381.220480743,2136943.7219122034,2235260.096353505,76647.67729824298,6048555.916666666,0.012672062283005759,25562.501431460492,0.011962178118844598,20240924,D:\Research\Release_Open\Results\Self-Scheduling\September2024_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202410,self_scheduling,0.2,29669900.572958887,24539490.79605373,168856620.8024078,170792626.04283077,174392578.13195348,2390081.637022689,2417586.5374629833,2469513.9861424826,95138.46666666666,6899512.083333334,0.013789158641592346,27504.900440294296,0.011377007612376082,,D:\Research\Release_Open\Results\Self-Scheduling\October2024_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202411,self_scheduling,0.2,29442065.95719003,25182705.105451938,120383490.7106004,121366730.39332259,126645043.25314575,1761873.983302813,1776461.0488144057,1854003.0292391395,50453.8,5187782.666666666,0.009725503792628683,14587.065511592664,0.008211306136618048,,D:\Research\Release_Open\Results\Self-Scheduling\November2024_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202412,self_scheduling,0.2,17575830.01222137,14686745.181778723,152825206.5765534,152910914.1442865,156005690.30236548,1975821.323450685,1976763.4487577507,2018002.2349668378,12117.650000000001,5743103.75,0.002109947952794689,942.1253070656676,0.00047659992279689486,,D:\Research\Release_Open\Results\Self-Scheduling\December2024_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202501,self_scheduling,0.2,36078631.37064132,29899782.035747692,180362469.54490104,182765156.38485706,190825396.179996,1826373.0550826918,1850645.4293286474,1931672.145520573,75195.03924284397,5412148.833333334,0.0138937493329302,24272.37424595561,0.013115626505916272,,D:\Research\Release_Open\Results\Self-Scheduling\January2025_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202502,self_scheduling,0.2,46630824.833021134,40709704.91735691,121289225.3677549,124269373.67806381,135668985.72019023,1316454.6795415776,1348896.5831148035,1473377.4824049035,99474.3993333281,3972084.083333333,0.025043377039956863,32441.90357322595,0.02405069742137885,,D:\Research\Release_Open\Results\Self-Scheduling\February2025_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202503,self_scheduling,0.2,58270729.42042255,47850883.27972216,69185481.3310909,73500777.59269518,91663558.37638383,779558.1485768486,828331.5162511934,1034448.1288745475,164681.15000000005,2570938.1666666665,0.06405488554145833,48773.3676743448,0.05888145835025088,20250309,D:\Research\Release_Open\Results\Self-Scheduling\March2025_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202504,self_scheduling,0.2,53115279.156828165,42544988.65512656,53684611.03531374,57830050.839186534,78426619.86794212,701075.6940602068,755136.6271380468,1024503.5489574403,170064.79045613774,2359955.666666667,0.07206270560851116,54060.93307784002,0.07159092955499975,,D:\Research\Release_Open\Results\Self-Scheduling\April2025_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202505,self_scheduling,0.2,41458019.871715404,34019536.59162277,62639239.07721427,66168938.90488944,84125779.8277563,909801.0827601048,961367.6307846373,1224379.8205918348,165903.7165716667,2891837.666666667,0.05736965061489736,51566.5480245325,0.0536387396176898,,D:\Research\Release_Open\Results\Self-Scheduling\May2025_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202506,self_scheduling,0.2,33771402.551191635,28597952.311555497,87672654.9707907,90476063.5030387,107396120.55332606,1143708.3109284167,1180581.2747863415,1405077.1411914187,120611.45627885505,3470164.916666667,0.034756692887873086,36872.9638579248,0.03123288895514455,,D:\Research\Release_Open\Results\Self-Scheduling\June2025_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202507,self_scheduling,0.2,22853285.441437293,18343578.06101657,125238829.0417262,127893856.58845918,140253162.57152134,1598966.276938175,1632997.5215040655,1793834.991554758,111354.86551246536,4759219.583333334,0.02339771543688114,34031.2445658904,0.020839740488121542,,D:\Research\Release_Open\Results\Self-Scheduling\July2025_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202508,self_scheduling,0.2,23710325.03965023,19227176.052692298,182224699.08397597,184415006.0931422,193509512.7977765,2533396.200965911,2563750.5610686373,2689938.638221033,94661.11929824563,7234479.583333332,0.013084717180807899,30354.360102726147,0.011839825825361756,,D:\Research\Release_Open\Results\Self-Scheduling\August2025_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202509,self_scheduling,0.2,30354158.827496126,24810164.951072846,169655968.60491678,172212898.90025014,190837144.9004327,2239312.6567350067,2273231.476719634,2519231.623885544,112638.21666666669,6450879.583333333,0.01746090827019649,33918.81998462742,0.014920970579544175,,D:\Research\Release_Open\Results\Self-Scheduling\September2025_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202510,self_scheduling,0.2,39888816.62650722,33204678.176826853,133680558.49636322,136464914.97109273,148507229.46363583,1783970.466377752,1821028.3649878516,1980620.0393995978,120698.53333333335,5239655.416666667,0.023035586071062406,37057.898610099684,0.020349984285031663,,D:\Research\Release_Open\Results\Self-Scheduling\October2025_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202511,self_scheduling,0.2,19257764.8723555,15645385.78644795,145454603.53075963,145656901.6470099,151990003.31792718,1883089.5430671307,1885756.0363838063,1967399.8234442028,19330.450000000004,5444254.666666666,0.0035506145806061986,2666.4933166755363,0.0014140181790370401,,D:\Research\Release_Open\Results\Self-Scheduling\November2025_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202512,self_scheduling,0.2,15429710.147458915,12519693.342745155,135487668.36642602,135715553.79810834,144907692.65840834,1457759.3677764898,1460398.9058126407,1556521.7293773128,19906.616666666676,4325171.833333333,0.004602503075889357,2639.538036150858,0.0018074089385064856,,D:\Research\Release_Open\Results\Self-Scheduling\December2025_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
