period_label,selected_months,hour,count_MC,count_CC,count_CD,count_NU,count_DC,count_DD,count_MD,state_rows_raw,state_rows_valid,state_rows_excluded_zero_limit,state_rows_excluded_nc,average_price_usd_per_mwh,ci90_lower_usd_per_mwh,ci90_upper_usd_per_mwh,daily_mean_sd_usd_per_mwh,n_days,five_minute_points_per_day_hour
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,0,47,4,15,145,2,30,121,365,364,1,0,58.89657184,56.16534986,61.62779381,31.64240339,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,1,110,2,14,168,2,21,47,365,364,1,0,55.64393284,52.96909503,58.31877064,30.98916808,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,2,140,5,25,156,0,8,30,365,364,1,0,54.47539683,51.73811123,57.21268243,31.71265312,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,3,150,6,28,136,1,10,33,365,364,1,0,54.52830354,51.73810530,57.31850177,32.32566918,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,4,113,2,22,151,2,15,59,365,364,1,0,56.76758868,53.84974345,59.68543391,33.80451558,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,5,32,2,5,122,3,21,179,365,364,1,0,62.69505977,59.58640977,65.80370978,36.01507249,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,6,47,1,2,75,1,16,222,365,364,1,0,68.46217203,64.69964042,72.22470364,43.59057741,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,7,146,4,3,96,3,8,104,365,364,1,0,59.58152364,54.54676977,64.61627750,58.32982975,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,8,251,31,1,55,0,5,21,365,364,1,0,40.97946078,36.96848788,44.99043369,46.46887867,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,9,307,17,2,18,1,3,16,365,364,1,0,34.60484787,31.44183294,37.76786280,36.64491396,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,10,329,5,2,17,0,3,8,365,364,1,0,30.59739682,27.70881377,33.48597987,33.46550042,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,11,332,8,3,15,1,0,5,365,364,1,0,28.08291835,25.36171572,30.80412098,31.52632489,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,12,326,2,3,18,1,4,10,365,364,1,0,27.42721463,24.67046504,30.18396422,31.93815202,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,13,309,2,2,23,0,1,27,365,364,1,0,28.11091115,25.11417678,31.10764553,34.71848090,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,14,295,9,0,19,0,1,40,365,364,1,0,29.92173116,26.64778634,33.19567599,37.93008538,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,15,237,18,1,50,0,3,55,365,364,1,0,38.51174722,34.51796383,42.50553061,46.26973065,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,16,166,13,9,71,1,12,92,365,364,1,0,49.45076016,44.14992598,54.75159434,61.41248679,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,17,103,2,5,68,1,17,168,365,364,1,0,57.92115196,54.45436027,61.38794365,40.16430087,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,18,28,1,5,71,1,22,236,365,364,1,0,66.90775025,63.81565626,69.99984424,35.82326381,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,19,5,1,0,49,1,13,295,365,364,1,0,77.86232011,72.49313867,83.23150155,62.20431973,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,20,4,0,2,46,1,12,299,365,364,1,0,72.18204852,68.89749118,75.46660585,38.05303599,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,21,2,0,1,52,0,11,298,365,364,1,0,70.06793482,67.10633314,73.02953650,34.31145322,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,22,16,2,4,75,0,11,256,365,364,1,0,66.68136956,63.52687062,69.83586850,36.54625252,365,12
Custom,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,23,76,1,7,136,0,20,124,365,364,1,0,58.56985258,55.96339323,61.17631193,30.19697369,365,12
