period_label,selected_months,hour,count_MC,count_CC,count_CD,count_NU,count_DC,count_DD,count_MD,state_rows_raw,state_rows_valid,state_rows_excluded_zero_limit,state_rows_excluded_nc,average_price_usd_per_mwh,ci90_lower_usd_per_mwh,ci90_upper_usd_per_mwh,daily_mean_sd_usd_per_mwh,n_days,five_minute_points_per_day_hour
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,0,17,1,4,100,1,30,211,365,364,1,0,43.38082805,42.46224966,44.29940644,10.64213320,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,1,52,4,13,122,1,27,145,365,364,1,0,40.90055081,40.07563588,41.72546573,9.55700088,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,2,71,5,10,172,2,26,78,365,364,1,0,39.38950573,38.60686853,40.17214292,9.06719486,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,3,85,4,17,171,1,18,68,365,364,1,0,39.09811583,38.29335285,39.90287881,9.32353172,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,4,74,4,12,169,10,18,77,365,364,1,0,39.48602210,38.68965733,40.28238687,9.22623485,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,5,38,13,8,156,15,9,125,365,364,1,0,41.03945134,40.13161507,41.94728762,10.51768110,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,6,34,16,6,93,11,16,188,365,364,1,0,45.45859669,42.74083391,48.17635948,31.48647277,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,7,168,20,2,54,4,9,107,365,364,1,0,37.13937811,34.76504304,39.51371319,27.50771229,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,8,308,1,1,26,0,2,26,365,364,1,0,24.95639612,22.89448185,27.01831039,23.88818033,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,9,327,0,3,15,0,0,19,365,364,1,0,20.68363714,18.13298417,23.23429010,29.55043225,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,10,333,1,0,14,0,0,16,365,364,1,0,19.08142359,16.22027192,21.94257526,33.14769581,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,11,339,2,0,13,0,3,7,365,364,1,0,16.45251841,14.74491617,18.16012066,19.78332028,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,12,339,1,3,13,0,1,7,365,364,1,0,15.42507508,13.59422096,17.25592919,21.21124719,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,13,332,2,2,18,0,0,10,365,364,1,0,14.44708346,12.47960612,16.41456080,22.79408718,365,12
Custom,2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12,14,324,0,3,18,0,5,14,365,364,1,0,14.33845647,12.28261184,16.39430111,23.81786095,365,12
