STARTTIME,STOPTIME,STARTTIME_GMT,STOPTIME_GMT,STARTDATE,MARKET_RUN_ID,RESOURCE_TYPE,SCHEDULINGCOORDINATOR_SEQ,RESOURCEBID_SEQ,TIMEINTERVALSTART,TIMEINTERVALEND,TIMEINTERVALSTART_GMT,TIMEINTERVALEND_GMT,PRODUCTBID_DESC,PRODUCTBID_MRID,MARKETPRODUCT_DESC,MARKETPRODUCTTYPE,GHG_AREA,SELFSCHEDMW,SCH_BID_TIMEINTERVALSTART,SCH_BID_TIMEINTERVALSTOP,SCH_BID_TIMEINTERVALSTART_GMT,SCH_BID_TIMEINTERVALSTOP_GMT,SCH_BID_XAXISDATA,SCH_BID_Y1AXISDATA,SCH_BID_Y2AXISDATA,SCH_BID_CURVETYPE,MINEOHSTATEOFCHARGE,MAXEOHSTATEOFCHARGE
2025-04-08T19:00:00,2025-04-08T21:00:00,2025-04-09T02:00:00-00:00,2025-04-09T04:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,211994,,,,,,,,EN,,,2025-04-08T19:00:00,2025-04-08T21:00:00,2025-04-09T02:00:00-00:00,2025-04-09T04:00:00-00:00,0.02,70,,BIDPRICE,,
2025-04-08T19:00:00,2025-04-08T21:00:00,2025-04-09T02:00:00-00:00,2025-04-09T04:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,211994,,,,,,,,EN,,,2025-04-08T19:00:00,2025-04-08T21:00:00,2025-04-09T02:00:00-00:00,2025-04-09T04:00:00-00:00,0.08,949,,BIDPRICE,,
2025-04-08T19:00:00,2025-04-08T21:00:00,2025-04-09T02:00:00-00:00,2025-04-09T04:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,211994,,,,,,,,EN,,,2025-04-08T19:00:00,2025-04-08T21:00:00,2025-04-09T02:00:00-00:00,2025-04-09T04:00:00-00:00,0.15,949,,BIDPRICE,,
2025-04-08T21:00:00,2025-04-08T22:00:00,2025-04-09T04:00:00-00:00,2025-04-09T05:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,211994,,,,,,,,EN,,,2025-04-08T21:00:00,2025-04-08T22:00:00,2025-04-09T04:00:00-00:00,2025-04-09T05:00:00-00:00,0,750,,BIDPRICE,,
2025-04-08T21:00:00,2025-04-08T22:00:00,2025-04-09T04:00:00-00:00,2025-04-09T05:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,211994,,,,,,,,EN,,,2025-04-08T21:00:00,2025-04-08T22:00:00,2025-04-09T04:00:00-00:00,2025-04-09T05:00:00-00:00,0.15,750,,BIDPRICE,,
2025-04-08T17:00:00,2025-04-08T22:00:00,2025-04-09T00:00:00-00:00,2025-04-09T05:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,143452,,,,,,,,EN,,,2025-04-08T17:00:00,2025-04-08T22:00:00,2025-04-09T00:00:00-00:00,2025-04-09T05:00:00-00:00,0.01,750,,BIDPRICE,,
2025-04-08T17:00:00,2025-04-08T22:00:00,2025-04-09T00:00:00-00:00,2025-04-09T05:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,143452,,,,,,,,EN,,,2025-04-08T17:00:00,2025-04-08T22:00:00,2025-04-09T00:00:00-00:00,2025-04-09T05:00:00-00:00,0.23,750,,BIDPRICE,,
2025-04-08T17:00:00,2025-04-08T22:00:00,2025-04-09T00:00:00-00:00,2025-04-09T05:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,669632,,,,,,,,EN,,,2025-04-08T17:00:00,2025-04-08T22:00:00,2025-04-09T00:00:00-00:00,2025-04-09T05:00:00-00:00,0.01,750,,BIDPRICE,,
2025-04-08T17:00:00,2025-04-08T22:00:00,2025-04-09T00:00:00-00:00,2025-04-09T05:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,907664,669632,,,,,,,,EN,,,2025-04-08T17:00:00,2025-04-08T22:00:00,2025-04-09T00:00:00-00:00,2025-04-09T05:00:00-00:00,0.18,750,,BIDPRICE,,
2025-04-08T02:00:00,2025-04-08T03:00:00,2025-04-08T09:00:00-00:00,2025-04-08T10:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T02:00:00,2025-04-08T03:00:00,2025-04-08T09:00:00-00:00,2025-04-08T10:00:00-00:00,-39.82,-17.62,,BIDPRICE,,
