price,profit,profit_actual,P_ESS,P_ESS_controlled,P_ESS_passive,P_ESS_actual,P_natural_gas,P_natural_gas_actual,P_renewable_absorbed,marginal_price_gas,marginal_price_gas_actual,marginal_price_gas_withoutESS,cost,cost_actual,cost_withoutESS,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_absorb
37.56245166666667,-23614.261281111114,-29517.82660138889,-628.6666666666667,0.0,-628.6666666666667,-785.8333333333334,7429.5,7586.666666666667,0.0,37.46577460470021,37.87846299046686,34.18585284312732,122576.6020894068,128491.00706852974,99941.86783903882,23089507.718815297,19624954.78343001,94248162.273655,96000981.77101862,109007314.40602154,56601.05000000001
37.454388333333334,-60336.91591685528,-37769.629435138886,-1610.9438333333333,-804.2105,-806.7333333333333,-1008.4166666666666,7521.6105,6919.083333333333,0.0,37.6661618899557,34.18585284312732,29.06547314578005,126027.85592867037,103984.3449377386,70327.41865474032,23089507.718815297,19624954.78343001,94248162.273655,96000981.77101862,109007314.40602154,56601.05000000001
37.015275833333334,-71846.6503925,-45389.981990625,-1941.0,-960.0,-981.0,-1226.25,7337.75,6623.0,0.0,37.46577460470021,34.18585284312732,25.63636363636364,119139.11726942557,93862.48367510266,56538.775556803244,23089507.718815297,19624954.78343001,94248162.273655,96000981.77101862,109007314.40602154,56601.05000000001
36.185159166666665,-68604.64943605557,-42333.620795069444,-1895.9333333333334,-960.0,-935.9333333333334,-1169.9166666666667,7354.099999999999,6628.083333333333,0.0,37.46577460470021,34.18585284312732,25.63636363636364,119751.68268421238,94036.26176038854,58113.27555680323,23089507.718815297,19624954.78343001,94248162.273655,96000981.77101862,109007314.40602154,56601.05000000001
36.078646666666664,-53526.28019466666,-23613.47424333333,-1483.6,-960.0,-523.6,-654.5,7616.6,6787.5,0.0,37.87846299046686,34.18585284312732,33.1997419346167,129624.83572737771,99486.0564677971,77249.04413909772,23089507.718815297,19624954.78343001,94248162.273655,96000981.77101862,109007314.40602154,56601.05000000001
43.05815583333333,9926.340191444446,12407.925239305556,230.53333333333336,0.0,230.53333333333336,288.1666666666667,8103.55,8045.916666666667,0.0,39.37086027889016,39.37086027889016,39.37086027889016,148422.55681631176,146153.4829022384,157498.85247260527,23089507.718815297,19624954.78343001,94248162.273655,96000981.77101862,109007314.40602154,56601.05000000001
45.12725966666667,97799.7971496,68097.034837,2167.2,960.0,1207.2,1509.0,9515.383333333331,10173.58333333333,0.0,41.9724736695949,42.78484251988143,43.0190271693622,206014.19574285482,233954.13189179922,298590.37121938256,23089507.718815297,19624954.78343001,94248162.273655,96000981.77101862,109007314.40602154,56601.05000000001
43.55613666666667,86708.65313355556,76851.17347027778,1990.7333333333336,579.2,1411.5333333333335,1764.4166666666667,10561.100000000002,10787.41666666667,0.0,42.78770856038339,42.78770856038339,43.93285916848234,250534.535772337,260218.1073480278,336410.86155458796,23089507.718815297,19624954.78343001,94248162.273655,96000981.77101862,109007314.40602154,56601.05000000001
54.6967575,119082.1339785,83216.558473125,2177.133333333333,960.0,1217.1333333333334,1521.4166666666667,10221.950000000003,10877.66666666667,0.0,42.78484251988143,42.78770856038339,43.55966058318325,236023.4921083444,264079.6980456024,329739.17334725836,23089507.718815297,19624954.78343001,94248162.273655,96000981.77101862,109007314.40602154,56601.05000000001
52.704898833333324,85547.07812634442,43687.969057930546,1623.1333333333332,960.0,663.1333333333333,828.9166666666666,9957.033333333333,10751.25,0.0,42.78484251988143,42.78770856038339,42.99415757367471,224689.07424411902,258670.61855509382,294185.2319889547,23089507.718815297,19624954.78343001,94248162.273655,96000981.77101862,109007314.40602154,56601.05000000001
