price,profit,profit_actual,P_ESS,P_ESS_controlled,P_ESS_passive,P_ESS_actual,SOC_controlled,P_natural_gas,P_natural_gas_actual,P_renewable_absorbed,marginal_price_gas,marginal_price_gas_actual,marginal_price_gas_withoutESS,cost,cost_actual,cost_withoutESS,carbon,carbon_actual,carbon_withoutESS,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_carbon,total_carbon_actual,total_carbon_withoutESS,total_absorb
52.27383583333333,-18745.39752983333,-23431.746912291663,-358.6,0.0,-358.6,-448.25,0.0,12172.01666666667,12261.66666666667,0.0,27.29528782439452,27.29528782439452,27.29528782439452,306689.9940205527,309137.01657400967,296901.9038067248,4342.578409162304,4377.2911549197115,4203.72742613267,29674197.60463995,24539490.796053745,168810568.85542467,170792626.04283077,174392578.13195348,2389456.9367314503,2417586.5374629833,2469513.9861424826,96540.3098
44.2063195,-30083.87396373333,-37604.842454666665,-680.5333333333333,0.0,-680.5333333333333,-850.6666666666666,0.0,11140.949999999995,11311.08333333333,0.0,27.17644565974788,27.17644565974788,27.12909353702427,278599.96292461484,283223.58221286,260127.8000972482,3943.817603274784,4009.5330774475406,3682.674595486974,29674197.60463995,24539490.796053745,168810568.85542467,170792626.04283077,174392578.13195348,2389456.9367314503,2417586.5374629833,2469513.9861424826,96540.3098
45.17004991666667,-48738.48386008334,-60923.10482510417,-1079.0,0.0,-1079.0,-1348.75,0.0,10578.25,10848.0,0.0,27.12909353702427,27.12909353702427,26.91517996643523,263324.5116190276,270642.5846006399,234107.57871542775,3727.760595685103,3830.9737375813847,3316.3462968182184,29674197.60463995,24539490.796053745,168810568.85542467,170792626.04283077,174392578.13195348,2389456.9367314503,2417586.5374629833,2469513.9861424826,96540.3098
44.06701475,-52084.27363351667,-65105.34204189584,-1181.9333333333334,0.0,-1181.9333333333334,-1477.4166666666667,0.0,9869.433333333336,10164.91666666667,0.0,27.12909353702427,27.12909353702427,26.7335597799428,244094.95796842594,252111.15295705767,212304.99230851245,3456.5494920887522,3569.60885524471,3006.916222601708,29674197.60463995,24539490.796053745,168810568.85542467,170792626.04283077,174392578.13195348,2389456.9367314503,2417586.5374629833,2469513.9861424826,96540.3098
42.80709641666667,-89994.78569997223,-35440.70857496528,-2102.333333333333,-1440.0,-662.3333333333334,-827.9166666666666,0.0855,10966.083333333332,9691.666666666666,0.0,27.17644565974788,26.91517996643523,26.7951274746543,273847.708460247,239286.50792730265,217024.21346927556,3876.273838088602,3388.8947284559763,3074.856049591194,29674197.60463995,24539490.796053745,168810568.85542467,170792626.04283077,174392578.13195348,2389456.9367314503,2417586.5374629833,2469513.9861424826,96540.3098
43.54622991666668,-66196.07563732224,-4361.880696652779,-1520.1333333333334,-1440.0,-80.13333333333334,-100.16666666666669,0.171,11384.05,9964.083333333334,0.0,27.17644565974788,27.12909353702427,27.12909353702427,285206.55686449964,246662.72667170523,243945.2958024133,4037.7170846897366,3492.76496523234,3454.438676520777,29674197.60463995,24539490.796053745,168810568.85542467,170792626.04283077,174392578.13195348,2389456.9367314503,2417586.5374629833,2469513.9861424826,96540.3098
53.26554050000001,107649.65735050004,29362.629200625004,2021.0,1580.0,441.0,551.25,0.0670526315789473,10250.58333333333,11720.33333333333,0.0,27.12909353702427,27.29528782439452,27.29528782439452,254435.21197006258,294361.1674317373,309407.69484493474,3602.387078868241,4167.68528353086,4381.130917649893,29674197.60463995,24539490.796053745,168810568.85542467,170792626.04283077,174392578.13195348,2389456.9367314503,2417586.5374629833,2469513.9861424826,96540.3098
46.67973633333335,-17053.663673777784,-21317.079592222228,-365.33333333333337,0.0,-365.33333333333337,-456.6666666666667,0.0670526315789473,11868.999999999996,11960.33333333333,0.0,27.29528782439452,27.29528782439452,27.17644565974788,298419.06688829727,300912.03650959197,288457.31270616647,4225.249457569916,4260.613994984044,4083.920058645248,29674197.60463995,24539490.796053745,168810568.85542467,170792626.04283077,174392578.13195348,2389456.9367314503,2417586.5374629833,2469513.9861424826,96540.3098
27.68811525,-124472.84504354998,-105752.44885443748,-4495.533333333333,-1440.0,-3055.5333333333333,-3819.4166666666665,0.1525526315789473,9245.7,8591.583333333334,22.0,26.91517996643523,26.7335597799428,25.81764505313406,227283.23483493814,209740.79836628618,108836.94416174825,3220.748263859776,2970.436396490749,1534.4829532047775,29674197.60463995,24539490.796053745,168810568.85542467,170792626.04283077,174392578.13195348,2389456.9367314503,2417586.5374629833,2469513.9861424826,96540.3098
21.286540666666664,-141625.03146617775,-138715.5161327222,-6653.266666666666,-1440.0,-5213.266666666666,-6516.583333333333,0.2380526315789474,8001.416666666667,8001.416666666667,136.6833333333334,26.58686468052249,26.58686468052249,22.217576142886,193971.5170955646,193971.5170955646,27163.56733251043,2746.062289747903,2746.062289747903,385.03150884657936,29674197.60463995,24539490.796053745,168810568.85542467,170792626.04283077,174392578.13195348,2389456.9367314503,2417586.5374629833,2469513.9861424826,96540.3098
