price,profit,profit_actual,P_ESS,P_ESS_controlled,P_ESS_passive,P_ESS_actual,P_natural_gas,P_natural_gas_actual,P_renewable_absorbed,marginal_price_gas,marginal_price_gas_actual,marginal_price_gas_withoutESS,cost,cost_actual,cost_withoutESS,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_absorb
33.690115,81477.85862175,40057.546734999996,2418.45,1467.25,951.2,1189.0,7219.383333333334,8448.833333333334,0.0,37.16457562166804,41.42437769743,42.47467131898839,103109.75416004575,151610.1186321608,201662.66769866084,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
32.87423166666667,-510.6463985555556,-638.3079981944445,-15.533333333333335,0.0,-15.533333333333335,-19.416666666666668,8040.783333333334,8044.666666666667,0.0,39.77350720658887,39.77350720658887,39.77350720658887,134888.70404378165,135043.15783010056,134270.88889850595,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
29.752322333333336,-70548.7067168,-10086.037271000001,-2371.2,-2100.0,-271.2,-339.0,9635.7,7603.5,0.0,42.47467131898839,38.74352480680026,37.16457562166804,201572.05506651365,117736.31074829787,104786.49593017665,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
33.43096283333333,-1947.9107677555555,-2434.888459694444,-58.266666666666666,0.0,-58.266666666666666,-72.83333333333333,6565.683333333333,6580.25,0.0,29.62535845524573,29.62535845524573,29.62535845524573,81528.36845478535,81959.91117628342,79802.19756879304,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
33.37519641666666,71258.26936267776,1462.946109597222,2135.0666666666666,2100.0,35.06666666666667,43.833333333333336,3988.516666666667,6079.75,0.0,18.29781739833546,29.62535845524573,29.62535845524573,17837.009744780993,67132.41926943294,68430.99748172119,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
30.116580833333334,4035.621831666667,5044.527289583333,134.0,0.0,134.0,167.5,5896.166666666667,5862.666666666667,0.0,28.55821078431372,28.26064462466209,29.47574669131717,61743.871603685744,60794.75338196812,65665.92865922092,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
29.92440799999999,-63345.45714031305,-14608.098505333328,-2116.8491333333336,-1726.3158,-390.53333333333336,-488.1666666666667,6667.932466666667,5039.25,0.0,30.71686573142112,23.87375092460921,22.16972034715526,84592.5999783146,40025.53324960584,29040.7018226551,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
22.573499166666668,-78512.13500161111,-38884.73343951389,-3478.0666666666666,-2100.0,-1378.0666666666666,-1722.5833333333333,5421.816666666667,3696.333333333333,30.0,24.49304033947132,9.2856250178061,2.695664372554998,49268.61837968524,13376.012730026056,2827.9113189645905,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
20.950402916666665,-99395.69490430555,-69249.81097413193,-4744.333333333334,-2100.0,-2644.3333333333335,-3305.4166666666665,4204.083333333334,2874.166666666667,109.0,19.17969124869679,8.221578096234659,0.0,21865.395876489227,6178.401568252261,0.0,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
21.858633,-118451.932227,-90686.00365875,-5419.0,-2100.0,-3319.0,-4148.75,3478.333333333333,2399.083333333333,191.0,8.985304309324992,2.834858508968141,0.0,11391.408831044399,4016.4458637312464,0.0,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
14.224578499999998,-81011.8194732,-63925.25577899999,-5695.200000000001,-2100.0,-3595.2000000000003,-4494.0,3366.2833333333338,2364.083333333333,199.0,8.985304309324992,2.834858508968141,0.0,10384.60548318454,3917.2258159173616,0.0,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
22.02915683333333,-142071.90685998887,-119763.3468874861,-6449.266666666666,-2100.0,-4349.266666666666,-5436.583333333333,3053.7666666666664,2307.083333333333,266.0,8.636697972031222,2.834858508968141,0.0,7678.5619659520535,3755.6388809061773,0.0,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
19.92416,-110707.93090133334,-86083.99362666666,-5556.466666666667,-2100.0,-3456.4666666666667,-4320.583333333333,3599.800000000001,2627.916666666667,264.0,8.985304309324992,4.502665661998503,0.0,12482.823794483753,4916.085791326873,0.0,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
25.513878916666666,-88829.12083626667,-44062.468889083335,-3481.6000000000004,-2100.0,-1381.6000000000001,-1727.0,4239.433333333333,2828.833333333333,344.0,19.19231241587187,7.120923261500076,1.791537841978833,22543.458964438665,5851.990907937454,838.2841227834247,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
27.553215250000004,-72889.27562235002,-18784.404496687504,-2645.4,-2100.0,-545.4,-681.75,4784.65,3009.0,188.0,22.46434233931377,8.636697972031222,2.834858508968141,34278.94553121506,7291.925786737458,3812.8085275037024,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
33.55807466666666,-28401.31719288889,-35501.64649111111,-846.3333333333335,0.0,-846.3333333333335,-1057.9166666666667,3279.416666666667,3491.0,0.0,8.636697972031222,8.985304309324992,2.834858508968141,9627.432863340902,11505.222685629184,4112.831053036163,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
30.613892499999995,-31701.706146833334,-39627.13268354166,-1035.5333333333335,0.0,-1035.5333333333335,-1294.4166666666667,3598.7,3857.583333333333,0.0,8.985304309324992,17.16993147126638,4.502665661998503,12472.939959743484,15446.170831274354,4624.538189712466,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
32.44733358333333,-14242.216287511112,-17802.770359388887,-438.93333333333334,0.0,-438.93333333333334,-548.6666666666666,4824.683333333333,4934.416666666667,0.0,22.46434233931377,22.46434233931377,20.66185253825504,35178.26803619893,37643.35520223297,25477.44389364511,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
37.707399833333334,120221.2459752889,51294.63290661111,3188.2666666666664,2100.0,1088.2666666666667,1360.3333333333333,4779.066666666667,6607.0,0.0,22.46434233931377,29.62535845524573,39.48173979663865,34153.51961982057,82752.38951496125,131980.8489416993,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
41.50623116666667,279533.398579189,240462.89141148617,6734.733333333334,2100.0,4634.733333333334,5793.416666666667,6208.183333333333,7149.5,0.0,29.62535845524573,36.61470357907422,44.38746155620793,70937.302807035,100513.71370597207,345559.5803603674,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
41.8517505,317649.2060616,287200.66251449997,7589.866666666667,2100.0,5489.866666666667,6862.333333333333,6576.883333333333,7304.416666666667,0.0,29.62535845524573,37.16457562166804,44.76943954407369,81860.1724694841,106269.9819070749,400017.46240571863,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
41.45004741666667,274042.84349055006,233747.17989443752,6611.400000000001,2100.0,4511.400000000001,5639.25,6395.766666666666,7367.916666666667,0.0,29.62535845524573,37.16457562166804,44.38746155620793,76494.52629726483,108629.93245905082,348411.47476535384,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
39.66151658333333,170703.16737466666,109267.47818708332,4304.0,2100.0,2204.0,2755.0,5968.166666666667,7517.166666666667,0.0,29.47574669131717,38.74352480680026,43.28703401110734,63838.432364359265,114391.45310664413,228832.57154462257,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
37.86052958333333,97008.77293372223,25663.12896923611,2562.266666666667,2020.0,542.2666666666668,677.8333333333334,5355.066666666667,7239.5,0.0,24.49304033947132,37.16457562166804,39.30165369504488,47633.70793702553,103857.38153963494,130015.03990967064,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
35.057231333333334,44513.33519831112,55641.66899788889,1269.7333333333336,0.0,1269.7333333333336,1587.1666666666667,6946.933333333333,6629.5,0.0,33.28664042543998,29.73468183360628,40.97196261682242,93434.40656869697,83419.32741273368,142027.59601004067,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
35.02218216666667,37065.14279305556,46331.42849131945,1058.3333333333335,0.0,1058.3333333333335,1322.9166666666667,6018.5,5753.916666666667,0.0,29.47574669131717,27.50413110276544,35.95169479143838,65322.04494782222,57745.65839373478,97892.31185456028,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
36.98813108333333,37133.61773226111,46417.02216532639,1003.9333333333334,0.0,1003.9333333333334,1254.9166666666667,5655.233333333334,5404.25,0.0,25.79810841828614,24.49304033947132,30.71686573142112,55143.12401617618,48838.357304388526,84323.34207668611,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
36.862713500000005,14541.111718633336,18176.389648291668,394.4666666666667,0.0,394.4666666666667,493.0833333333333,5885.616666666667,5787.0,0.0,28.32000793572066,28.02176712837821,29.62535845524573,61443.388103701094,58669.00027380381,73067.36607996715,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
37.12727216666667,13063.849499711114,16329.81187463889,351.8666666666667,0.0,351.8666666666667,439.8333333333333,6246.799999999999,6158.833333333333,0.0,29.62535845524573,29.62535845524573,29.62535845524573,72081.33539938171,69475.29136726861,82505.51152783418,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
43.96698083333333,138109.08019366665,57223.02555458333,3141.2,2100.0,1041.2,1301.5,4443.216666666667,6282.916666666667,0.0,21.66312906321295,29.62535845524573,38.74352480680026,26674.708776651667,73151.30459559037,116996.95514990145,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
46.72089891666666,115353.89942524998,21550.0146253125,2469.0,2100.0,369.0,461.25,4112.416666666667,6120.166666666667,0.0,19.17969124869679,29.62535845524573,29.62535845524573,20107.25751202535,68329.77750699913,81994.47409448122,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
26.811697166666665,-25909.03669538889,-32386.29586923611,-966.3333333333335,0.0,-966.3333333333335,-1207.9166666666667,3131.333333333334,3372.916666666667,0.0,8.636697972031222,8.985304309324992,2.834858508968141,8348.481838649283,10444.208001769728,3352.8527344236218,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
23.151776166666664,-65326.18915580232,-31698.640201527778,-2821.6491333333333,-1726.3158,-1095.3333333333335,-1369.1666666666667,2444.2324666666664,1594.75,603.0,2.834858508968141,2.564961611888632,0.1274673743159961,4144.437268533784,1844.0864358411263,0.1241675740261109,34255416.5610875,28582784.442320455,37396605.06145041,39975178.289042905,78635803.67513387,135350.26580000002
