price,profit,profit_actual,P_ESS,P_ESS_controlled,P_ESS_passive,P_ESS_actual,P_natural_gas,P_natural_gas_actual,P_renewable_absorbed,marginal_price_gas,marginal_price_gas_actual,marginal_price_gas_withoutESS,cost,cost_actual,cost_withoutESS,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_absorb
38.06864491666666,26005.960297405552,-3657.7622990763884,683.1333333333333,760.0,-76.86666666666667,-96.08333333333333,11374.116666666663,12153.33333333333,0.0,55.31562597449047,55.82610669263055,55.66106537024741,343597.40617490915,386955.4357252459,381606.38879067294,20490969.53090172,18956987.77314017,358046219.84731805,359148046.08358926,365405429.3438223,31767.266666666666
36.31923608333334,14309.779016833336,-16616.050508125,394.0,760.0,-366.0,-457.5,9982.91666666667,10834.41666666667,0.0,52.26944765186416,55.22068207969379,53.50210546995688,267970.76496640604,313746.02431329625,288920.57237422134,20490969.53090172,18956987.77314017,358046219.84731805,359148046.08358926,365405429.3438223,31767.266666666666
35.61142591666667,11832.489784577776,-19040.24239011111,332.26666666666665,760.0,-427.73333333333335,-534.6666666666666,8550.816666666668,9417.75,0.0,50.50088643052939,51.15451629361346,50.50088643052939,194746.79258413104,238754.09428383593,211526.55378211493,20490969.53090172,18956987.77314017,358046219.84731805,359148046.08358926,365405429.3438223,31767.266666666666
35.22402433333333,15486.829365222218,-14104.28641013889,439.66666666666663,760.0,-320.33333333333337,-400.4166666666667,7659.916666666667,8500.0,0.0,45.64709663595458,50.45031870122001,49.49104728485998,150883.82367735272,192182.31619672882,172169.2283883303,20490969.53090172,18956987.77314017,358046219.84731805,359148046.08358926,365405429.3438223,31767.266666666666
35.464356083333335,26160.87333747222,-990.046607326389,737.6666666666666,760.0,-22.333333333333336,-27.916666666666668,7166.083333333334,7931.666666666667,0.0,41.98336629273242,49.49104728485998,49.49104728485998,129734.66381778145,163858.85669841422,162477.23162837853,20490969.53090172,18956987.77314017,358046219.84731805,359148046.08358926,365405429.3438223,31767.266666666666
34.72642341666667,29524.405188850003,3915.404240229167,850.2,760.0,90.2,112.75,7085.05,7822.5,0.0,41.98336629273242,48.71797485855876,49.49104728485998,126332.611702527,158484.68771625683,164036.19961785164,20490969.53090172,18956987.77314017,358046219.84731805,359148046.08358926,365405429.3438223,31767.266666666666
28.32603466666667,-13830.060847246312,-11920.539588888889,-488.2455666666667,-151.5789,-336.6666666666667,-420.8333333333333,8082.7455666666665,8056.333333333333,41.0,49.49104728485998,49.49104728485998,45.64709663595458,171335.90968205885,170028.7405932601,149769.2737344915,20490969.53090172,18956987.77314017,358046219.84731805,359148046.08358926,365405429.3438223,31767.266666666666
11.448674416666668,-21828.80588777778,-16409.76666388889,-1906.6666666666667,-760.0,-1146.6666666666667,-1433.3333333333333,8816.833333333334,8415.5,72.0,50.50088643052939,50.05145532855698,41.98336629273242,208180.87005609236,187947.04638741855,122013.22303377639,20490969.53090172,18956987.77314017,358046219.84731805,359148046.08358926,365405429.3438223,31767.266666666666
14.335696333333336,-24895.370252466673,-31119.21281558334,-1736.6000000000001,0.0,-1736.6000000000001,-2170.75,9235.766666666666,9669.916666666666,0.0,50.96502058541029,51.47194405605837,42.65326632458642,229466.4084102039,251669.99616476003,143764.63715753122,20490969.53090172,18956987.77314017,358046219.84731805,359148046.08358926,365405429.3438223,31767.266666666666
15.959370416666667,-37874.777872833336,-32182.070445208334,-2373.2,-760.0,-1613.2,-2016.5,9360.533333333333,9259.833333333334,256.0,51.15451629361346,50.96502058541029,41.98336629273242,235827.20337656967,230692.96657229282,132977.87886389502,20490969.53090172,18956987.77314017,358046219.84731805,359148046.08358926,365405429.3438223,31767.266666666666
