price,profit,profit_actual,P_ESS,P_ESS_controlled,P_ESS_passive,P_ESS_actual,SOC_controlled,P_natural_gas,P_natural_gas_actual,P_renewable_absorbed,marginal_price_gas,marginal_price_gas_actual,marginal_price_gas_withoutESS,cost,cost_actual,cost_withoutESS,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_absorb
33.129358999999994,44974.20915446666,14806.062693083331,1357.5333333333333,1000.0,357.53333333333336,446.9166666666667,0.04258861439312568,4429.8,5340.416666666667,0.0,16.93707687819337,21.21827915679944,23.88350425979844,20985.733457919192,37450.645555991876,47670.96430401066,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
30.348021583333335,1563.9347122611114,1954.918390326389,51.53333333333334,0.0,51.53333333333334,64.41666666666667,0.04258861439312568,4730.966666666666,4718.083333333333,0.0,16.93711632441819,16.93711632441819,16.93711632441819,26086.62718823852,25868.420672925604,26959.453249490212,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
29.54496416666667,-34333.21802594445,-5985.317324097223,-1162.0666666666666,-1000.0,-162.0666666666667,-202.58333333333334,0.13952738990332975,5422.650000000001,4463.166666666667,0.0,21.74584657335429,16.93711632441819,15.7934561310552,39213.34218163529,21550.86743655934,18188.67119431971,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
30.882346666666667,5733.822364444445,7167.277955555556,185.66666666666669,0.0,185.66666666666669,232.08333333333334,0.13952738990332975,4728.083333333334,4681.666666666667,0.0,16.93711632441819,16.93711632441819,18.25458838979627,26037.7918361698,25251.627353444717,29294.153406610007,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
32.859761666666664,17492.346460555556,21865.43307569444,532.3333333333334,0.0,532.3333333333334,665.4166666666666,0.13952738990332975,4895.666666666666,4762.583333333333,0.0,18.25458838979627,16.93711632441819,21.81978635653354,28964.049599894515,26622.12234936221,39329.96743125194,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
33.43517833333333,48952.44459783334,51724.22088166667,1464.1000000000001,226.5,1237.6000000000001,1547.0,0.1151987110633727,5322.983333333333,5240.083333333333,0.0,21.21827915679944,20.41869289739564,27.07688722715824,37080.74022269165,35336.673800854944,72399.29872706215,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
37.09829391666667,86486.01599812778,61734.65260182639,2331.2666666666664,1000.0,1331.2666666666667,1664.0833333333333,0.007787325456498365,5308.316666666667,5975.5,0.0,21.21827915679944,23.88350425979844,29.43798512668412,36769.53879505861,52165.04368889605,96742.30778120909,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
20.042041416666667,-24658.391622972224,-5770.437757881945,-1230.3333333333335,-1000.0,-230.33333333333337,-287.9166666666667,0.10472610096670244,4842.666666666667,4822.25,922.0,18.20333195664654,17.44687356673291,16.93711632441819,27996.886164955267,27637.827893290523,22756.22554831376,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
6.333110250000001,-17141.196202650004,-13510.107440812502,-2706.6000000000004,-1000.0,-1706.6000000000001,-2133.25,0.2016648764769065,3757.416666666667,3757.416666666667,573.3500000000004,13.22394299058004,13.22394299058004,1.840161556656402,11020.733240216186,11020.733240216186,1030.4329903701246,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
3.902204583333333,-12137.677282972221,-10294.34087454861,-3110.4666666666667,-1000.0,-2110.4666666666667,-2638.0833333333335,0.2986036519871106,2971.0,2971.0,472.3833333333332,4.229523298514255,4.229523298514255,0.07636156232321911,5107.979587632996,5107.979587632996,8.658915697516548,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
-4.992829333333334,16652.750103111113,14574.900962222222,-3335.3333333333335,-1000.0,-2335.3333333333335,-2919.1666666666665,0.39554242749731466,2860.416666666667,2860.416666666667,416.16666666666697,4.229523298514255,4.229523298514255,0.0,4640.264802872296,4640.264802872296,0.0,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
-10.930581333333334,41858.296863288895,38659.64441244445,-3829.466666666667,-1000.0,-2829.466666666667,-3536.8333333333335,0.49248120300751874,2740.583333333333,2740.583333333333,292.63333333333367,3.794587183259465,3.794587183259465,0.0,4176.927788061069,4176.927788061069,0.0,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
-6.3769054999999994,21891.916581499998,19393.763851875,-3433.0,-1000.0,-2433.0,-3041.25,0.5894199785177228,2701.916666666667,2701.916666666667,391.75,3.794587183259465,3.794587183259465,0.0,4030.203750308372,4030.203750308372,0.0,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
-17.508104749999998,54221.43320376666,45891.660567208324,-3096.9333333333334,-1000.0,-2096.9333333333334,-2621.1666666666665,0.6863587540279268,2519.916666666667,2519.916666666667,475.7666666666669,3.794587183259465,3.794587183259465,0.0,3339.5888829551495,3339.5888829551495,0.0,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
-29.191810166666667,76955.44996136667,59704.549743375,-2636.2,-1000.0,-1636.2,-2045.25,0.7832975295381308,2366.5,2366.5,590.9499999999998,3.521631279271987,3.521631279271987,0.07636156232321911,2795.9500439760586,2795.9500439760586,7.768030803745671,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
-11.189366583333333,17751.55710557222,8202.73815279861,-1586.4666666666667,-1000.0,-586.4666666666667,-733.0833333333334,0.8802363050483348,2720.25,2720.25,853.3833333333332,3.794587183259465,3.794587183259465,2.151625624011517,4099.771182001461,4099.771182001461,1715.7186554457637,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
21.13332975,-14838.4152618,7868.64311025,-702.1333333333333,-1000.0,297.8666666666667,372.3333333333333,0.9771750805585389,4715.133333333333,4287.666666666667,647.0,16.93711632441819,15.95862919790516,16.93711632441819,25818.45617976857,18618.585409915984,24884.656499748984,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
49.72725499999999,218030.80712266668,210379.44015333333,4384.533333333334,1000.0,3384.5333333333338,4230.666666666667,0.8697636949516645,6083.716666666666,6237.583333333333,0.0,23.88350425979844,24.24792364579667,32.69795913468227,54749.63690821056,58443.448767402086,185469.51147898176,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
47.171031,234339.3925372,233960.45192149997,4967.866666666667,1000.0,3967.866666666667,4959.833333333333,0.7623523093447901,6725.383333333333,6733.416666666667,0.0,26.70218818826984,26.70218818826984,33.14469130866247,70743.75107110613,70958.25864955192,225721.1107270218,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
40.3698915,166848.7615695,158098.58758687502,4133.0,1000.0,3133.0,3916.25,0.6549409237379158,6601.833333333333,6818.583333333333,0.0,25.4434387510279,27.53362731133299,32.69795913468227,67504.66929343122,73254.86215487111,194186.24241830243,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
38.51636466666667,108279.7721085778,87204.25930238889,2811.266666666667,1000.0,1811.2666666666669,2264.0833333333335,0.5475295381310414,6555.233333333334,7102.416666666667,0.0,25.4434387510279,28.02058177024296,31.78581894636955,66319.00504763333,81196.29243452178,149839.45296926118,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
35.42911675,64700.65300885,36589.420323562495,1826.2,1000.0,826.2,1032.75,0.4401181525241671,6396.383333333333,7189.833333333333,0.0,24.87692322719574,28.02058177024296,30.43476889855115,62336.33107827827,83645.75829093716,114048.27166664308,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
35.01993808333334,41402.90546465556,7978.709226652779,1182.2666666666667,1000.0,182.26666666666668,227.83333333333334,0.33270676691729273,5763.066666666667,6717.5,0.0,23.88350425979844,26.34929723408319,28.02058177024296,47091.3912673062,70533.84873551074,76794.72604811276,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
35.70139416666667,30753.180935166667,-6185.266539375,861.4,1000.0,-138.6,-173.25,0.22529538131041837,5664.35,6699.0,0.0,23.88350425979844,26.34929723408319,25.43921886956811,44733.69133845977,70046.3867366802,65568.96602946545,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
32.35605066666667,7060.090255466667,8825.112819333333,218.20000000000002,0.0,218.20000000000002,272.75,0.22529538131041837,5708.466666666667,5653.916666666667,0.0,23.88350425979844,23.88350425979844,23.88350425979844,45787.35193472122,44484.506777349205,50998.73256420923,35684894.28021912,28761922.46445722,24068047.735250123,26703892.56698864,37981731.7062464,143958.6333333334
