year_month,k,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_absorbed,total_natural_gas,rate_gas,carbon_reduce,rate_carbon,skipped_gas_dates
202301,0.2,27773845.797646496,22306920.870934434,990037243.1658536,994352139.1439043,1019556244.8981905,25398.45,7744607.333333333,0.0032795013235446153,11477.623051125,0.0026870742583674956,
202302,0.2,12956278.03095428,11025709.19910861,326257253.17175186,329107103.6699895,336964403.48514205,36427.5768,6667347.083333333,0.005463578893479185,16461.713024862,0.00495927716111289,
202303,0.2,22624762.436976515,18671858.34990074,214212954.49245745,217880951.15957463,223051638.90839985,61758.985400000005,6311476.333333334,0.00978518846277329,27909.039899723502,0.00882687581816813,20230312
202304,0.2,30408022.308664344,22832438.948590536,115082933.31424694,120475486.42600267,127215905.7442219,130357.88333333335,5396472.833333334,0.024156127040634596,58909.05337304167,0.028490270352510384,
202305,0.2,15069784.697622767,12438584.872046975,23617787.384649947,24716170.345062017,28778664.097520716,99690.99923333334,3573361.833333333,0.027898378021332017,45050.611781041414,0.015996450398946382,
202306,0.2,13015441.834576542,10312762.275108295,53758379.90912927,55754050.250278935,59942444.29670506,94470.17816666666,4759889.5,0.019847136822538983,42691.30968896208,0.01891007634429468,
202307,0.2,21122076.10173671,18956987.77314017,357974423.56466466,359148046.08358926,365405429.3438223,31252.966666666667,10171872.75,0.0030724889540784577,14123.293769083333,0.003193116871405832,
202308,0.2,14960903.059088664,11741190.832889613,360579556.18803644,362046506.1640901,371324016.6947512,33916.7,10065411.916666666,0.0033696286133943036,15327.041521749998,0.002938136656828398,
202309,0.2,12304036.649819445,9538376.95395428,143741544.11352172,145549194.50604755,149802422.32266822,48873.36196666667,7086251.0,0.006896927863078329,22085.994456141583,0.005768955011509425,
202310,0.2,24269514.178578354,20811846.75951118,249326742.7256933,252293986.07786664,254787615.78286856,73146.47696666667,9061591.083333334,0.00807214497917506,33055.075807429086,0.007680143606954755,
202311,0.2,20997723.364391252,18412316.224699102,243675318.0060532,244792623.91549113,248761346.4076215,27026.915800000002,7971354.25,0.003390504919537355,12213.5308173095,0.0030737172883157685,
202312,0.2,11492430.08174936,10077791.397134984,227524299.11014766,227936051.32069722,232214896.62624943,15162.666666666672,8247273.333333334,0.0018385066256241462,6852.046973333336,0.0015667412323218687,
202401,0.2,19677702.39533665,15071067.68732793,276114787.6435962,277921525.27799714,288590552.03049845,35896.37776666667,7794492.333333333,0.004605351603613099,16221.662853701086,0.0042040814070812005,20240111
202402,0.2,22770631.585562706,19624954.78343001,94413070.25448355,96000981.77101862,109007314.40602154,50767.20000000001,5135439.833333334,0.009885657635491723,22941.824598000003,0.007337272228358126,
202403,0.2,34403235.52771068,28761922.46445722,24352425.900294982,26703892.56698864,37981731.7062464,134727.5914666667,3266669.25,0.041243107629175095,60883.73540276534,0.02692563573693484,20240310
