price,profit,profit_actual,P_ESS,P_ESS_controlled,P_ESS_passive,P_ESS_actual,SOC_controlled,P_natural_gas,P_natural_gas_actual,P_renewable_absorbed,marginal_price_gas,marginal_price_gas_actual,marginal_price_gas_withoutESS,cost,cost_actual,cost_withoutESS,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_absorb
23.903831,-25744.425987000002,10846.363316250001,-1077.0,-1440.0,363.0,453.75,0.1659322033898305,7360.083333333333,5829.333333333333,0.0,27.30570888410542,18.53118918638981,21.75354353119762,74766.47655530584,38553.67591618882,47664.85708614253,26794824.75189648,21533762.325828765,36436311.3056723,38483025.31866008,55320412.345210046,119543.21756666664
28.20024533333333,39094.940113777775,-1891.7664577777775,1386.3333333333333,1440.0,-53.666666666666664,-67.08333333333333,0.03747546833184656,3963.5000000000005,5416.916666666667,0.0,7.779758919942073,18.04807642386169,17.39086808418213,10555.321864352743,30986.161394618714,29786.41785673783,26794824.75189648,21533762.325828765,36436311.3056723,38483025.31866008,55320412.345210046,119543.21756666664
24.428132500000004,-5429.559583666667,-6786.949479583334,-222.26666666666665,0.0,-222.26666666666665,-277.8333333333333,0.03747546833184656,4864.016666666666,4919.583333333333,0.0,15.97646216532676,16.850957029915,14.07688743092823,21600.78099575916,22526.418237272217,18244.7564518103,26794824.75189648,21533762.325828765,36436311.3056723,38483025.31866008,55320412.345210046,119543.21756666664
27.980339999999998,9833.224154,-2401.64585,351.43333333333334,420.1,-68.66666666666667,-85.83333333333333,-6.938893903907228e-18,3517.3166666666666,3954.583333333333,0.0,4.545960480602767,7.779758919942073,6.120130384613178,7921.353766297923,10485.952347316588,9946.893899602983,26794824.75189648,21533762.325828765,36436311.3056723,38483025.31866008,55320412.345210046,119543.21756666664
25.670853500000003,-4461.594338300001,-5576.992922875001,-173.8,0.0,-173.8,-217.25,-6.938893903907228e-18,3695.633333333333,3739.083333333333,0.0,6.120130384613178,6.120130384613178,4.545960480602767,8887.397327853369,9153.31699306481,7941.886354468645,26794824.75189648,21533762.325828765,36436311.3056723,38483025.31866008,55320412.345210046,119543.21756666664
26.07441308333333,-648.3837386722222,-810.4796733402776,-24.866666666666667,0.0,-24.866666666666667,-31.083333333333332,-6.938893903907228e-18,3331.1166666666663,3337.333333333333,0.0,3.923863798332543,4.545960480602767,3.923863798332543,7076.005330559736,7103.156645797434,6978.431917441199,26794824.75189648,21533762.325828765,36436311.3056723,38483025.31866008,55320412.345210046,119543.21756666664
20.15423291666667,214.9784844444445,268.7231055555556,10.666666666666668,0.0,10.666666666666668,13.333333333333334,-6.938893903907228e-18,1836.416666666667,1836.416666666667,2.666666666666666,2.508847527652165,2.508847527652165,2.508847527652165,2367.640087316211,2367.640087316211,2401.0913876849067,26794824.75189648,21533762.325828765,36436311.3056723,38483025.31866008,55320412.345210046,119543.21756666664
-14.681173833333332,41914.751294166665,25967.32621770833,-2855.0,-1440.0,-1415.0,-1768.75,0.11593220338983051,1117.083333333333,1117.083333333333,1086.25,1.763585485486944,1.763585485486944,0.0,861.9757112173023,861.9757112173023,0.0,26794824.75189648,21533762.325828765,36436311.3056723,38483025.31866008,55320412.345210046,119543.21756666664
-15.706641166666666,52220.39344152222,37003.53770190277,-3324.7333333333336,-1440.0,-1884.7333333333333,-2355.9166666666665,0.23186440677966103,1250.666666666667,1250.666666666667,968.8166666666671,2.034577723554476,2.034577723554476,0.0,1106.7389427828216,1106.7389427828216,0.0,26794824.75189648,21533762.325828765,36436311.3056723,38483025.31866008,55320412.345210046,119543.21756666664
-16.6187165,56487.0173835,40695.082029375,-3399.0,-1440.0,-1959.0,-2448.75,0.34779661016949154,1305.916666666667,1305.916666666667,950.25,2.034577723554476,2.034577723554476,0.0,1219.1493620092065,1219.1493620092065,0.0,26794824.75189648,21533762.325828765,36436311.3056723,38483025.31866008,55320412.345210046,119543.21756666664
