state,legend_label,color_hex,dsfunction_vertical_width_sum,included_in_left_pie,dsfunction_left_normalized_percent,p_ess_count,p_ess_percent,included_in_shared_legend
MC,Max-rate charge,#C90000,,false,,2882,43.82603406,true
CC,Charge-for-charge,#FF6B6B,10451.584286461492,true,20.79844483,86,1.30778589,true
CD,Charge-for-discharge,#F6B4B4,2839.354266755503,true,5.65025851,90,1.36861314,true
NU,Null segment,#A6A6A6,25816.672226151524,true,51.37466418,1211,18.41545012,true
DC,Discharge-for-charge,#9CC5E5,1076.681837861600,true,2.14257544,18,0.27372263,true
DD,Discharge-for-discharge,#4F95D5,10067.465980686617,true,20.03405704,203,3.08698297,true
MD,Max-rate discharge,#1D4B73,,false,,2086,31.72141119,true
NC,not classified,,,false,,0,0.00000000,false
