"State","Date","Hour","Gross Load (MW)","Steam Load (1000 lb/hr)","SO2 Mass (lbs)","CO2 Mass (short tons)","NOx Mass (lbs)","Heat Input (mmBtu)"
"CA","2024-01-01",0,12440,,52.456,5246.522,628.039,88228.21
"CA","2024-01-01",1,11908,,49.952,5040.142,536.232,84078.29
"CA","2024-01-01",2,11543,,48.76,4894.841,507.494,82059.829
"CA","2024-01-01",3,11218,,47.689,4790.944,504.877,79949.308
"CA","2024-01-01",4,11128,,47.487,4766.4,507.254,79719.3
"CA","2024-01-01",5,11009,,47.097,4719.6,485.013,78913.4
"CA","2024-01-01",6,11148,,47.725,4776.824,498.418,79881.74
"CA","2024-01-01",7,10614,,44.395,4455.305,497.182,74464.824
"CA","2024-01-01",8,7940,,33.963,3418.172,415.979,56989.132
"CA","2024-01-01",9,6707,,28.148,2838.431,333.442,47222.303
"CA","2024-01-01",10,5924,,26.294,2672.2,286.72,44422.6
"CA","2024-01-01",11,5884,,26.028,2643.2,282.232,43941
"CA","2024-01-01",12,5782,,25.751,2615.225,359.682,43469.75
"CA","2024-01-01",13,5596,,25.201,2561.442,340.054,42567.801
"CA","2024-01-01",14,6032,,27.217,2751.813,411.11,45771.909
"CA","2024-01-01",15,7385,,33.485,3441.68,612.493,56200.148
"CA","2024-01-01",16,10993,,47.642,4843.234,733.475,79960.397
"CA","2024-01-01",17,12372,,53.64,5326.044,681.879,89957.5
"CA","2024-01-01",18,12685,,54.586,5391.844,579.501,91355.2
"CA","2024-01-01",19,12728,,54.671,5398.444,577.952,91489.8
"CA","2024-01-01",20,12812,,54.907,5422.572,739.356,91919.588
"CA","2024-01-01",21,12814,,55.154,5451.344,609.386,92378.5
"CA","2024-01-01",22,12558,,53.795,5313.574,577.647,90034.846
"CA","2024-01-01",23,11692,,50.035,4975.358,546.938,83762.819
"CA","2024-01-02",0,12145,,51.588,5128.117,615.95,86348.794
"CA","2024-01-02",1,11980,,51.294,5105.514,551.719,85971.1
"CA","2024-01-02",2,11690,,50.45,5018.176,609.4,84511.835
"CA","2024-01-02",3,11753,,50.783,5056.314,648.966,85140.7
"CA","2024-01-02",4,11934,,51.347,5133.814,661.874,86436.5
"CA","2024-01-02",5,12180,,52.72,5235.702,561.046,88130.856
"CA","2024-01-02",6,12505,,54.454,5405.014,587.564,91033.4
"CA","2024-01-02",7,12149,,52.881,5255.514,569.967,88444.2
"CA","2024-01-02",8,10665,,47.099,4673.54,518.436,78703.392
"CA","2024-01-02",9,9928,,42.84,4274.042,490.009,71868.332
"CA","2024-01-02",10,9494,,42.373,4222.412,487.497,70993.19
"CA","2024-01-02",11,9327,,40.938,4087.292,446.185,68639.52
"CA","2024-01-02",12,9069,,40.374,4031.352,440.115,67671.64
"CA","2024-01-02",13,8983,,39.782,3974.127,456.57,66692.545
"CA","2024-01-02",14,9330,,41.244,4113.497,536.578,69048.688
"CA","2024-01-02",15,10738,,47.612,4746.284,736.941,79740.48
"CA","2024-01-02",16,12786,,55.854,5563.892,593.234,93537.3
"CA","2024-01-02",17,13272,,57.916,5769.36,702.905,97012.625
"CA","2024-01-02",18,13376,,58.512,5827.092,647.825,97981.5
"CA","2024-01-02",19,13398,,58.428,5818.644,624.759,97855.412
"CA","2024-01-02",20,13294,,57.722,5766.184,606.032,97003.16
"CA","2024-01-02",21,13280,,57.852,5761.992,612.207,96910
"CA","2024-01-02",22,13196,,57.432,5718.627,600.411,96186.219
"CA","2024-01-02",23,12980,,55.225,5517.72,617.614,92792.698
"CA","2024-01-03",0,12752,,55.139,5487.45,602.173,92271.687
"CA","2024-01-03",1,12248,,52.444,5229.96,554.403,87920.49
"CA","2024-01-03",2,12189,,51.953,5176.146,572.649,87018.581
"CA","2024-01-03",3,11700,,50.216,5008.5,540.895,84196.8
"CA","2024-01-03",4,11704,,50.267,5013.66,554.148,84288.206
"CA","2024-01-03",5,11984,,51.76,5151.951,586.545,86609.592
"CA","2024-01-03",6,12295,,53.366,5302.231,578.202,89157.701
"CA","2024-01-03",7,12407,,54.073,5369.07,576.965,90290.99
"CA","2024-01-03",8,11718,,50.752,5063.058,627.781,85130.994
"CA","2024-01-03",9,10076,,42.815,4276.968,492.71,71890.28
"CA","2024-01-03",10,9554,,40.508,4064.269,457.982,68284.778
"CA","2024-01-03",11,9225,,41.13,4028.946,468.608,67706.43
"CA","2024-01-03",12,9404,,43.677,4129.545,488.195,69386.727
"CA","2024-01-03",13,9497,,41.933,4178.386,559.433,70209.61
"CA","2024-01-03",14,9666,,42.461,4253.398,500.689,71469.846
"CA","2024-01-03",15,10421,,46.125,4597.798,618.65,77296.81
"CA","2024-01-03",16,12525,,55.167,5492.11,801.283,92391.314
"CA","2024-01-03",17,13159,,59.243,5897.913,714.462,99205.743
"CA","2024-01-03",18,13388,,59.73,5945.504,646.267,100013.888
"CA","2024-01-03",19,13407,,59.772,5949.373,706.106,100074.347
"CA","2024-01-03",20,13342,,58.68,5839.758,670.526,98252.934
"CA","2024-01-03",21,13103,,57.109,5685.631,659.203,95644.557
"CA","2024-01-03",22,12202,,52.591,5257.985,608.845,88426.188
"CA","2024-01-03",23,11709,,50.68,5047,582.867,84855.1
"CA","2024-01-04",0,11252,,47.575,4755.825,598.248,79614.218
"CA","2024-01-04",1,10177,,44.232,4410.49,506.051,74058.78
"CA","2024-01-04",2,9983,,43.271,4318.32,464.642,72529.792
"CA","2024-01-04",3,9971,,43.116,4306.646,513.994,72310.276
"CA","2024-01-04",4,10547,,45.645,4606.156,671.841,76894.589
"CA","2024-01-04",5,11292,,48.87,4858.656,527.915,81756.272
"CA","2024-01-04",6,11703,,51.122,5127.019,661.32,85450.232
"CA","2024-01-04",7,11873,,51.269,5076.912,553.942,85873.876
"CA","2024-01-04",8,10331,,44.923,4447.148,510.867,75220.454
"CA","2024-01-04",9,8360,,35.002,3493.164,421.613,58600.651
"CA","2024-01-04",10,7808,,33.953,3384.923,1446.059,56848.356
"CA","2024-01-04",11,6758,,29.179,2959.94,1383.314,49044.877
"CA","2024-01-04",12,6251,,27.94,2826.323,1430.828,46947.452
"CA","2024-01-04",13,6185,,28.065,2850.56,392.533,47207.956
"CA","2024-01-04",14,6872,,30.938,3147.562,506.467,52013.147
"CA","2024-01-04",15,9284,,41.337,4174.824,774.852,69401.952
"CA","2024-01-04",16,11841,,52.348,5209.323,757.686,87597.055
"CA","2024-01-04",17,12581,,54.742,5426.851,575.358,91722.384
"CA","2024-01-04",18,13029,,56.232,5574.029,601.351,94227.658
"CA","2024-01-04",19,13097,,56.532,5599.338,592.77,94687.18
"CA","2024-01-04",20,12960,,55.777,5522.323,591.113,93423.965
"CA","2024-01-04",21,12531,,54.113,5356.938,581.989,90645.3
"CA","2024-01-04",22,12574,,54.271,5374.138,584.464,90918.6
"CA","2024-01-04",23,11956,,51.654,5116.454,555.805,86503.212
"CA","2024-01-05",0,10658,,46.067,4651.942,483.216,77221.745
"CA","2024-01-05",1,10630,,45.989,4638.902,482.937,77065.18
"CA","2024-01-05",2,10489,,45.44,4593.082,482.79,76186.2
"CA","2024-01-05",3,10830,,46.755,4698.482,500.268,78408.5
"CA","2024-01-05",4,10993,,47.44,4764.482,504.279,79565
"CA","2024-01-05",5,11581,,49.766,4959.482,529.613,83389.6
"CA","2024-01-05",6,12088,,51.851,5118.682,543.103,86743.9
"CA","2024-01-05",7,12101,,51.908,5125.282,545.95,86779.7
"CA","2024-01-05",8,10889,,45.275,4534.077,504.202,75815.558
"CA","2024-01-05",9,9174,,38.161,3845.363,479.189,63861.305
"CA","2024-01-05",10,7302,,30.968,3110.245,409.633,51806.278
"CA","2024-01-05",11,6925,,30.324,3045.75,426.718,50710.575
"CA","2024-01-05",12,6236,,27.632,2780.2,491.226,46270.3
"CA","2024-01-05",13,5895,,26.476,2674.5,302.971,44500.5
"CA","2024-01-05",14,6397,,28.842,2956.546,547.186,48457.476
"CA","2024-01-05",15,8195,,36.794,3759.725,759.391,61766.707
"CA","2024-01-05",16,11352,,49.609,4939.622,685.031,83044.931
"CA","2024-01-05",17,12964,,55.881,5514.982,630.66,93566.9
"CA","2024-01-05",18,13139,,56.059,5531.582,580.132,93850.1
"CA","2024-01-05",19,13124,,56.368,5563.489,633.688,94380.841
"CA","2024-01-05",20,13257,,56.804,5602.816,593.902,95093.52
"CA","2024-01-05",21,13588,,58.117,5733.082,606.967,97296.7
"CA","2024-01-05",22,13090,,55.862,5509.289,582.672,93508.825
"CA","2024-01-05",23,12754,,54.285,5354.712,566.585,90896.678
"CA","2024-01-06",0,12309,,53.637,5117.262,544.695,86592.947
"CA","2024-01-06",1,11749,,48.826,4836.015,521.418,81711.349
"CA","2024-01-06",2,10675,,44.606,4443.291,485.571,74655.905
"CA","2024-01-06",3,10237,,43.843,4359.729,456.441,73412.3
"CA","2024-01-06",4,10335,,44.232,4394.629,463.408,74064.3
"CA","2024-01-06",5,10572,,45.179,4491.229,482.531,75756.5
"CA","2024-01-06",6,10872,,46.737,4637.029,490.802,78227.9
"CA","2024-01-06",7,10488,,45.073,4476.829,477.43,75419.6
"CA","2024-01-06",8,8009,,32.682,3303.389,441.013,54917.542
"CA","2024-01-06",9,6381,,26.807,2717.026,332.594,45089.234
"CA","2024-01-06",10,5749,,24.648,2497.444,303.364,41298.264
"CA","2024-01-06",11,5397,,23.851,2411.1,271.114,40021
"CA","2024-01-06",12,5448,,23.8,2409.344,279.384,39993.464
"CA","2024-01-06",13,5742,,25.387,2569.766,310.225,42689.088
"CA","2024-01-06",14,6083,,26.521,2679.885,394.488,44551.744
"CA","2024-01-06",15,7019,,31.781,3208.501,589.908,53437.972
"CA","2024-01-06",16,9009,,39.082,3925.991,493.315,65525.871
"CA","2024-01-06",17,9625,,41.712,4188.959,554.856,69959.133
"CA","2024-01-06",18,10051,,43.434,4354.9,472.303,72804.2
"CA","2024-01-06",19,10141,,43.517,4364.55,458.88,72953.615
"CA","2024-01-06",20,10070,,43.057,4318.26,454.525,72174.992
"CA","2024-01-06",21,9993,,42.864,4299.88,472.119,71855.156
"CA","2024-01-06",22,9779,,42.014,4256.846,526.7,70429.212
"CA","2024-01-06",23,9804,,43.058,4269.157,540.502,70767.68
"CA","2024-01-07",0,10037,,43.048,4294.614,451.438,72077.698
"CA","2024-01-07",1,9948,,42.658,4251.366,448.503,71413.5
"CA","2024-01-07",2,9715,,41.683,4161.966,442.506,69909.6
"CA","2024-01-07",3,9476,,40.787,4074.066,433.605,68427.2
"CA","2024-01-07",4,9534,,41.064,4101.366,435.094,68887.2
"CA","2024-01-07",5,9958,,42.593,4256.566,445.412,71464.3
"CA","2024-01-07",6,10268,,44.195,4386.366,475.743,73666.7
"CA","2024-01-07",7,10058,,43.121,4309.349,492.439,72345.769
"CA","2024-01-07",8,7652,,31.262,3158.04,470.236,52500.433
"CA","2024-01-07",9,5573,,23.579,2399.772,285.995,39627.698
"CA","2024-01-07",10,5143,,22.884,2308.2,255.62,38294.1
"CA","2024-01-07",11,4909,,21.992,2219.5,245.906,36804.7
"CA","2024-01-07",12,4551,,20.627,2093.95,265.862,34711.441
"CA","2024-01-07",13,4512,,20.971,2129.726,495.835,35307.052
"CA","2024-01-07",14,4942,,22.909,2374.678,563.851,38629.343
"CA","2024-01-07",15,6523,,30.756,3189.343,725.621,51738.771
"CA","2024-01-07",16,10156,,44.638,4484.704,721.546,74511.517
"CA","2024-01-07",17,12156,,53.338,5281.877,831.186,89322.419
"CA","2024-01-07",18,12663,,55.277,5471.903,609.142,92554.4
"CA","2024-01-07",19,12927,,56.505,5593.467,805.114,94598.758
"CA","2024-01-07",20,13428,,58.826,5822.303,710.899,98462.8
"CA","2024-01-07",21,13865,,60.823,6020.999,864.283,101799.004
"CA","2024-01-07",22,13657,,59.562,5859.471,796.555,99040.601
"CA","2024-01-07",23,13238,,58.379,5702.639,754.934,96374.22
"CA","2024-01-08",0,13121,,56.267,5588.171,636.042,94186.517
"CA","2024-01-08",1,13238,,57.59,5714.283,620.089,96348.2
"CA","2024-01-08",2,13489,,58.416,5794.437,669.139,97697.93
"CA","2024-01-08",3,14279,,62.658,6215.367,788.138,104793.924
"CA","2024-01-08",4,15560,,68.205,6769.057,889.951,114092.567
"CA","2024-01-08",5,16847,,74.898,7424.967,1139.009,125143.415
"CA","2024-01-08",6,17681,,81.341,8039.71,1356.263,135524.783
"CA","2024-01-08",7,17198,,79.201,7837.714,2001.562,132110.805
"CA","2024-01-08",8,13936,,61.808,6101.504,734.466,102843.635
"CA","2024-01-08",9,11029,,47.151,4630.561,562.935,78020.341
"CA","2024-01-08",10,9514,,43.165,4227.691,505.454,71240.322
"CA","2024-01-08",11,8951,,39.351,3926.019,475.468,66131.951
"CA","2024-01-08",12,8649,,38.94,3894.9,555.995,65335.943
"CA","2024-01-08",13,8722,,38.636,3847.294,662.148,64762.942
"CA","2024-01-08",14,9242,,43.36,4445.135,875.475,72766.426
"CA","2024-01-08",15,11703,,53.617,5399.832,845.115,89851.979
"CA","2024-01-08",16,15250,,68.011,6742.835,862.014,113677.491
"CA","2024-01-08",17,16252,,72.808,7226.289,884.873,121830.727
"CA","2024-01-08",18,16437,,73.611,7305.466,1054.137,123195.792
"CA","2024-01-08",19,16589,,74.705,7412.883,965.928,125008.4
"CA","2024-01-08",20,16585,,73.746,7318.636,852.22,123414.094
"CA","2024-01-08",21,16445,,72.675,7212.46,822.245,121628.299
"CA","2024-01-08",22,15809,,67.909,6742.189,752.938,113692.245
"CA","2024-01-08",23,14518,,62.781,6234.385,727.091,105123.329
"CA","2024-01-09",0,13993,,59.827,5935.153,725.041,100197.281
"CA","2024-01-09",1,13949,,60.114,5964.085,643.204,100664.8
"CA","2024-01-09",2,14003,,59.975,5950.038,644.108,100404.005
"CA","2024-01-09",3,13869,,59.475,5898.649,654.238,99562.29
"CA","2024-01-09",4,14292,,61.044,6052.329,669.297,102165.042
"CA","2024-01-09",5,15379,,67.068,6641.212,840.537,112073.186
"CA","2024-01-09",6,15835,,69.196,6827.381,752.126,115238.064
"CA","2024-01-09",7,15276,,66.58,6618.384,781.512,111359.718
"CA","2024-01-09",8,11646,,49.958,4980.851,706.265,82891.358
"CA","2024-01-09",9,9324,,40.846,4120.542,478.651,68462.924
"CA","2024-01-09",10,8378,,41.014,3788.91,461.475,63252.653
"CA","2024-01-09",11,7942,,47.631,3637.417,404.759,60614.6
"CA","2024-01-09",12,7797,,44.124,3584.517,394.174,59686.2
"CA","2024-01-09",13,7622,,38.097,3557.326,442.358,59008.346
"CA","2024-01-09",14,7820,,36.295,3622.005,492.016,60149.333
"CA","2024-01-09",15,8915,,40.882,4087.5,675.247,67407.463
"CA","2024-01-09",16,12538,,55.443,5520.645,813.513,92580.531
"CA","2024-01-09",17,14111,,61.694,6116.756,739.785,103234.6
"CA","2024-01-09",18,14366,,62.961,6241.539,700.258,105357.917
"CA","2024-01-09",19,14350,,62.627,6210.125,670.671,104825.206
"CA","2024-01-09",20,14331,,62.297,6179.29,665.591,104292.37
"CA","2024-01-09",21,14176,,61.603,6112.029,665.049,103166.064
"CA","2024-01-09",22,13525,,58.531,5807.226,627.417,98030.3
"CA","2024-01-09",23,13051,,56.144,5568.77,580.933,93983.019
"CA","2024-01-10",0,11845,,51.468,5122.103,525.203,86116.7
"CA","2024-01-10",1,11820,,51.257,5087.497,557.522,85758.993
"CA","2024-01-10",2,11062,,48.3,4857.168,545.394,80775.81
"CA","2024-01-10",3,10644,,46.826,4745.378,475.346,78448.922
"CA","2024-01-10",4,11424,,49.867,4969.703,507.483,83403.2
"CA","2024-01-10",5,12507,,54.017,5347.403,566.273,90302.7
"CA","2024-01-10",6,13195,,56.813,5603.403,590.273,94870.7
"CA","2024-01-10",7,13013,,56.116,5550.103,588.414,93837.7
"CA","2024-01-10",8,11514,,48.014,4778.572,587.368,80318.184
"CA","2024-01-10",9,9131,,37.628,3797.603,472.508,63251.417
"CA","2024-01-10",10,8094,,35.383,3542.694,395.517,59265.609
"CA","2024-01-10",11,7647,,33.549,3378.65,374.424,56403.062
"CA","2024-01-10",12,7664,,33.971,3394.581,385.829,56707.372
"CA","2024-01-10",13,7393,,33.029,3359.11,507.085,55465.227
"CA","2024-01-10",14,7523,,33.918,3488.71,563.3,56944.193
"CA","2024-01-10",15,9637,,43.883,4393.311,758.137,73526.893
"CA","2024-01-10",16,13341,,57.032,5648.147,752.309,95382.33
"CA","2024-01-10",17,14805,,64.522,6382.516,759.371,107998.87
"CA","2024-01-10",18,15008,,65.604,6488.203,694.127,109813.8
"CA","2024-01-10",19,15010,,65.601,6493.803,693.236,109888.8
"CA","2024-01-10",20,14645,,62.9,6222.765,670.039,105357.786
"CA","2024-01-10",21,13871,,59.549,5893.03,638.217,99797.588
"CA","2024-01-10",22,13422,,57.376,5676.129,645.611,96131.669
"CA","2024-01-10",23,11985,,51.696,5181.304,618.715,86633.089
"CA","2024-01-11",0,11802,,51.05,5101.019,513.572,85499.736
"CA","2024-01-11",1,11636,,50.329,5008.619,514.934,84333.4
"CA","2024-01-11",2,11628,,50.245,4985.419,507.757,84246.8
"CA","2024-01-11",3,11104,,48.364,4885.419,489.68,81123.5
"CA","2024-01-11",4,12278,,52.856,5242.531,579.238,88521.533
"CA","2024-01-11",5,13277,,56.852,5620.941,606.662,95110.734
"CA","2024-01-11",6,14176,,61.263,6029.719,679.49,102079.6
"CA","2024-01-11",7,14305,,61.717,6091.719,649.669,103134.5
"CA","2024-01-11",8,12143,,52.923,5223.803,580.585,88530.65
"CA","2024-01-11",9,10288,,43.862,4361.615,510.784,73160.311
"CA","2024-01-11",10,8822,,38.173,3885.17,448.769,64057.631
"CA","2024-01-11",11,8123,,35.38,3599.681,404.78,59393.408
"CA","2024-01-11",12,7881,,35.143,3537.46,442.139,58821.926
"CA","2024-01-11",13,8274,,37.132,3764.143,544.097,62261.013
"CA","2024-01-11",14,9034,,40.295,4137.311,596.166,67641.899
"CA","2024-01-11",15,10657,,46.811,4748.217,833.628,78444.661
"CA","2024-01-11",16,15154,,65.647,6516.993,844.475,109779.672
"CA","2024-01-11",17,16876,,74.556,7375.051,834.86,124731.84
"CA","2024-01-11",18,16913,,74.602,7375.619,821.645,124760.148
"CA","2024-01-11",19,16788,,74.36,7349.919,801.447,124345.2
"CA","2024-01-11",20,16403,,70.927,7008.44,763.418,118591.359
"CA","2024-01-11",21,15746,,67.299,6649.722,719.497,112535.657
"CA","2024-01-11",22,14585,,62.186,6153.262,666.373,104152.674
"CA","2024-01-11",23,14368,,60.643,6002.049,657.26,101579.983
"CA","2024-01-12",0,14649,,62.668,6229.62,691.028,104926.4
"CA","2024-01-12",1,14424,,61.688,6129.316,666.391,103236.408
"CA","2024-01-12",2,14296,,61.297,6089.12,653.359,102547.1
"CA","2024-01-12",3,14451,,61.928,6151.37,658.119,103590.298
"CA","2024-01-12",4,15145,,63.601,6315.778,832.394,106370.543
"CA","2024-01-12",5,16010,,69.551,6911.082,859.186,116425.741
"CA","2024-01-12",6,16840,,74.247,7364.874,995.966,124063.056
"CA","2024-01-12",7,16709,,72.809,7218.753,848.272,121669.522
"CA","2024-01-12",8,13486,,56.362,5598.119,712.152,94314.444
"CA","2024-01-12",9,10760,,47.483,4723.091,619.737,79549.608
"CA","2024-01-12",10,10582,,46.791,4651.419,598.351,78340.003
"CA","2024-01-12",11,10515,,47.51,4729.82,645.211,79627
"CA","2024-01-12",12,10574,,47.545,4735.205,585.838,79540.532
"CA","2024-01-12",13,10956,,50.004,4994.568,734.128,83773.904
"CA","2024-01-12",14,11149,,50.931,5100.86,653.618,85294.537
"CA","2024-01-12",15,11937,,55.251,5558.254,829.28,92485.922
"CA","2024-01-12",16,16098,,71.521,7104.677,968.18,119652.507
"CA","2024-01-12",17,17139,,76.334,7573.446,836.105,127560.428
"CA","2024-01-12",18,16973,,75.416,7479.249,823.951,126009.161
"CA","2024-01-12",19,17339,,77.159,7661.02,839.405,129074.56
"CA","2024-01-12",20,16784,,74.769,7420.776,809.491,125044.952
"CA","2024-01-12",21,16995,,75.561,7496.32,826.78,126332.59
"CA","2024-01-12",22,16732,,73.472,7289.126,788.393,122830.915
"CA","2024-01-12",23,15305,,66.937,6643.858,704.369,111938.173
"CA","2024-01-13",0,14721,,63.428,6305.38,728.616,106156.61
"CA","2024-01-13",1,14349,,61.597,6122.391,765.333,103063.879
"CA","2024-01-13",2,14125,,60.751,6040.565,689.533,101695.358
"CA","2024-01-13",3,14406,,62.053,6170.616,703.491,103889.619
"CA","2024-01-13",4,15348,,66.957,6651.833,846.103,111981.541
"CA","2024-01-13",5,15729,,69.16,6858.936,795.876,115449.454
"CA","2024-01-13",6,16578,,73.798,7319.931,927.04,123248.932
"CA","2024-01-13",7,15708,,68.892,6845.212,828.658,115262.937
"CA","2024-01-13",8,11824,,51.094,5091.303,574.325,85549.427
"CA","2024-01-13",9,10532,,44.519,4437.829,546.591,74661.006
"CA","2024-01-13",10,9723,,42.03,4188.987,497.36,70482.884
"CA","2024-01-13",11,9376,,40.638,4049.563,478.94,68128.737
"CA","2024-01-13",12,9352,,40.949,4078.773,500.782,68615.648
"CA","2024-01-13",13,9385,,41.873,4171.819,626.089,70162.148
"CA","2024-01-13",14,10378,,47.011,4677.863,750.861,78665.579
"CA","2024-01-13",15,11741,,53.173,5289.106,787.555,88953.432
"CA","2024-01-13",16,15537,,67.259,6687.221,1240.833,112526.518
"CA","2024-01-13",17,16665,,75.04,7449.421,940.612,125374.74
"CA","2024-01-13",18,15810,,70.18,6967.018,766.391,117271.872
"CA","2024-01-13",19,15741,,69.464,6904.744,791.188,116233.647
"CA","2024-01-13",20,15312,,67.499,6711.018,724.116,112965.262
"CA","2024-01-13",21,15011,,66.116,6564.72,707.716,110497.14
"CA","2024-01-13",22,15164,,66.639,6624.652,802.049,111512.415
"CA","2024-01-13",23,14543,,63.536,6316.372,708.955,106306.879
"CA","2024-01-14",0,14412,,62.082,6142.901,688.411,103783.418
"CA","2024-01-14",1,13818,,59.651,5909.032,673.768,99829.834
"CA","2024-01-14",2,13381,,57.751,5719.146,620.682,96653.758
"CA","2024-01-14",3,13335,,57.523,5697.099,645.781,96275.62
"CA","2024-01-14",4,13336,,57.139,5662.082,651.179,95688.919
"CA","2024-01-14",5,13497,,58.812,5821.09,642.348,98347.928
"CA","2024-01-14",6,13612,,59.394,5877.642,675.171,99306.099
"CA","2024-01-14",7,13446,,57.246,5667.817,698.967,95787.488
"CA","2024-01-14",8,10943,,47.179,4682.289,561.219,79086.285
"CA","2024-01-14",9,8533,,35.596,3575.222,435.462,59724.709
"CA","2024-01-14",10,7622,,32.388,3273.424,395.117,54401.8
"CA","2024-01-14",11,7095,,31.339,3206.483,364.692,52612.498
"CA","2024-01-14",12,6905,,30.751,3148.349,346.718,51633.2
"CA","2024-01-14",13,6978,,30.768,3154.738,360.217,51680.417
"CA","2024-01-14",14,7746,,34.698,3562.711,617.498,58199.04
"CA","2024-01-14",15,9935,,44.249,4496.26,896.963,74130.316
"CA","2024-01-14",16,14132,,63.148,6274.765,861.827,105575.495
"CA","2024-01-14",17,15225,,66.948,6630.015,892.438,111919.267
"CA","2024-01-14",18,15438,,68.338,6766.243,756.418,114233.065
"CA","2024-01-14",19,15354,,66.771,6573.589,733.749,111112.312
"CA","2024-01-14",20,14911,,64.917,6376.161,696.152,108175.2
"CA","2024-01-14",21,14346,,61.983,6095.438,621.401,103281.444
"CA","2024-01-14",22,14453,,62.173,6103.436,631.073,103595.192
"CA","2024-01-14",23,14392,,61.219,6007.604,663.142,101992.008
"CA","2024-01-15",0,13925,,61.129,6016.392,671.087,101826.221
"CA","2024-01-15",1,13995,,61.188,6030.45,633.991,102064.8
"CA","2024-01-15",2,14099,,61.142,6025.361,618.646,101965.336
"CA","2024-01-15",3,14007,,60.923,6012.118,621.672,101596.742
"CA","2024-01-15",4,14317,,62.226,6127.573,690.075,103722.817
"CA","2024-01-15",5,15441,,67.902,6681.707,748.444,113049.051
"CA","2024-01-15",6,15832,,69.72,6861.96,777.54,116082.046
"CA","2024-01-15",7,16311,,72.452,7142.792,771.74,120797.636
"CA","2024-01-15",8,14579,,63.214,6226.782,681.388,105357.772
"CA","2024-01-15",9,13270,,57.037,5623.923,615.787,95030.566
"CA","2024-01-15",10,12192,,51.781,5110.441,561.991,86355.498
"CA","2024-01-15",11,11080,,48.631,4782.15,505.628,81043.5
"CA","2024-01-15",12,11499,,50.074,4924.841,539.642,83421.659
"CA","2024-01-15",13,11466,,49.896,4908.319,527.843,83127.121
"CA","2024-01-15",14,11952,,52.296,5162.624,706.352,87174.778
"CA","2024-01-15",15,13785,,60.029,5942.299,746.844,100061.538
"CA","2024-01-15",16,18076,,79.987,7892.724,1023.429,133415.737
"CA","2024-01-15",17,18648,,85.14,8396.403,893.989,141902.867
"CA","2024-01-15",18,18520,,83.744,8255.74,898.947,139567.725
"CA","2024-01-15",19,18380,,82.672,8149.724,884.89,137788.632
"CA","2024-01-15",20,18098,,80.873,7972.017,864.791,134799.313
"CA","2024-01-15",21,17992,,80.697,7955.681,891.511,134513.394
"CA","2024-01-15",22,17864,,79.897,7876.272,970.836,133177.21
"CA","2024-01-15",23,17348,,76.451,7534.91,812.392,127435.257
"CA","2024-01-16",0,16273,,71.454,7042.678,749.973,119086.317
"CA","2024-01-16",1,16188,,71.132,7009.152,742.485,118514.152
"CA","2024-01-16",2,16109,,70.63,6961.888,740.892,117715.411
"CA","2024-01-16",3,16268,,71.066,7005.659,760.721,118428.826
"CA","2024-01-16",4,17187,,75.15,7416.991,958.545,125360.278
"CA","2024-01-16",5,18341,,82.005,8083.034,1280.088,136596.283
"CA","2024-01-16",6,19452,,89.725,8844.146,1056.086,149408.256
"CA","2024-01-16",7,18821,,86.028,8488.718,1083.798,143428.408
"CA","2024-01-16",8,15314,,66.642,6561.216,830.352,110952.818
"CA","2024-01-16",9,12768,,55.487,5475.444,630.761,92653.705
"CA","2024-01-16",10,11449,,51.368,5057.453,609.144,85615.875
"CA","2024-01-16",11,10898,,49.436,4873.836,551.829,82500.36
"CA","2024-01-16",12,11104,,49.989,4926.911,580.905,83410.99
"CA","2024-01-16",13,11355,,51.768,5106.702,630.879,86434.686
"CA","2024-01-16",14,12232,,55.32,5451.323,878.004,92229.017
"CA","2024-01-16",15,14711,,66.613,6560.364,975.813,110919.735
"CA","2024-01-16",16,17714,,80.817,7970.511,1059.936,134681.804
"CA","2024-01-16",17,18457,,85.024,8381.435,1006.693,141641.078
"CA","2024-01-16",18,18179,,83.443,8228.584,900.834,139054.264
"CA","2024-01-16",19,17928,,80.456,7932.566,856.36,134063.363
"CA","2024-01-16",20,17473,,78.972,7787.535,839.471,131604.254
"CA","2024-01-16",21,17233,,77.899,7682.228,823.617,129803.85
"CA","2024-01-16",22,16523,,73.401,7242.391,819.612,122356.779
"CA","2024-01-16",23,15365,,67.623,6668.529,724.621,112687.76
"CA","2024-01-17",0,14358,,61.981,6101.68,683.019,103375.733
"CA","2024-01-17",1,14352,,62.425,6143.663,647.773,104076.818
"CA","2024-01-17",2,14086,,60.126,5916.35,637.521,100251.024
"CA","2024-01-17",3,13464,,57.943,5700.526,597.883,96609.56
"CA","2024-01-17",4,13802,,58.799,5792.771,626.325,98148.267
"CA","2024-01-17",5,14922,,65.228,6422.306,772.051,108746.946
"CA","2024-01-17",6,15263,,67.199,6612.473,755.585,111944.343
"CA","2024-01-17",7,15385,,66.949,6603.579,746.612,111797.562
"CA","2024-01-17",8,13975,,59.099,5816.976,726.144,98564.762
"CA","2024-01-17",9,11939,,50.978,5011.699,732.01,85000.599
"CA","2024-01-17",10,10600,,45.126,4441.891,524.197,75193.011
"CA","2024-01-17",11,8968,,40.83,4127.036,807.578,68124.38
"CA","2024-01-17",12,9842,,44.403,4405.379,1770.053,74095.122
