price,profit,profit_actual,P_ESS,P_ESS_controlled,P_ESS_passive,P_ESS_actual,SOC_controlled,P_natural_gas,P_natural_gas_actual,P_renewable_absorbed,marginal_price_gas,marginal_price_gas_actual,marginal_price_gas_withoutESS,cost,cost_actual,cost_withoutESS,carbon,carbon_actual,carbon_withoutESS,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_carbon,total_carbon_actual,total_carbon_withoutESS,total_absorb
41.86762208333334,89119.42036658333,40224.317916562504,2128.6,1360.0,768.6,960.75,0.0990543381180228,5968.3166666666675,7136.166666666667,0.0,25.48822338165023,25.5666372614437,25.75975416942929,136345.6364072093,166201.52487514957,190839.2126502946,1995.2385601264268,2428.4933345781315,2792.9506570694916,29436564.900066093,25182705.105451927,120422056.08848988,121366730.39332253,126645043.25314581,1762453.343794484,1776461.0488144069,1854003.0292391377,50452.80000000002
39.28486666666667,16117.271297777783,20146.589122222227,410.2666666666667,0.0,410.2666666666667,512.8333333333334,0.0990543381180228,7593.566666666667,7491.0,0.0,25.61297300334298,25.61297300334298,25.75975416942929,177915.56014603935,175288.52288166314,188441.40886635688,2601.769114202602,2562.851262842246,2757.53053956963,29436564.900066093,25182705.105451927,120422056.08848988,121366730.39332253,126645043.25314581,1762453.343794484,1776461.0488144069,1854003.0292391377,50452.80000000002
37.633097166666666,-28781.79271306667,-35977.240891333335,-764.8000000000001,0.0,-764.8000000000001,-956.0,0.0990543381180228,8062.133333333334,8253.333333333334,0.0,25.75975416942929,25.75975416942929,25.61297300334298,189943.20253443462,194868.46753162952,170328.1437766824,2779.7148853197673,2852.470406887969,2489.3664671309457,29436564.900066093,25182705.105451927,120422056.08848988,121366730.39332253,126645043.25314581,1762453.343794484,1776461.0488144069,1854003.0292391377,50452.80000000002
35.14585216666666,-68197.01154419998,-26376.962051083327,-1940.4,-1340.0,-600.4,-750.5,0.21478161084529554,9225.066666666668,8035.166666666667,0.0,25.82426608259441,25.75975416942929,25.61297300334298,219907.372092163,189248.54783033233,170003.7127853067,3222.030629990169,2769.4535155588405,2484.560232643804,29436564.900066093,25182705.105451927,120422056.08848988,121366730.39332253,126645043.25314581,1762453.343794484,1776461.0488144069,1854003.0292391377,50452.80000000002
36.857214166666665,-41896.82391705555,9364.803832847223,-1136.7333333333333,-1340.0,203.26666666666668,254.08333333333334,0.33050888357256825,9768.066666666666,8377.25,0.0,25.82426608259441,25.75975416942929,25.76736368885589,233929.94857501172,198060.53040245792,204606.1198029614,3425.4012799431835,2899.6232401218936,2996.3140294066975,29436564.900066093,25182705.105451927,120422056.08848988,121366730.39332253,126645043.25314581,1762453.343794484,1776461.0488144069,1854003.0292391377,50452.80000000002
39.34975991666667,55703.520138033346,69629.40017254167,1415.6000000000001,0.0,1415.6000000000001,1769.5,0.33050888357256825,9471.15,9117.25,0.0,25.82426608259441,25.76736368885589,26.11383258779729,226262.29357065473,217126.91127543792,262942.45259460434,3314.196610547451,3181.2698904186122,3848.882121494531,29436564.900066093,25182705.105451927,120422056.08848988,121366730.39332253,126645043.25314581,1762453.343794484,1776461.0488144069,1854003.0292391377,50452.80000000002
41.32651925,141538.553840726,139015.52300379166,3424.8844666666673,733.8178,2691.066666666667,3363.8333333333335,0.26028708452950605,9282.698866666666,9343.75,0.0,25.82426608259441,25.82426608259441,27.61652394098655,221395.68135988826,222972.28207173222,312015.8753963673,3243.6157091286987,3266.4812867831524,4569.253035862358,29436564.900066093,25182705.105451927,120422056.08848988,121366730.39332253,126645043.25314581,1762453.343794484,1776461.0488144069,1854003.0292391377,50452.80000000002
44.4109005,193832.85559559998,166792.5386445,4364.533333333333,1360.0,3004.5333333333333,3755.6666666666665,0.1301435438596496,8446.466666666667,9055.333333333334,0.0,25.75975416942929,25.76736368885589,27.61652394098655,199843.53472021862,215531.48200703628,314871.8842472643,2925.9616014427393,3157.702371171167,4611.482135052193,29436564.900066093,25182705.105451927,120422056.08848988,121366730.39332253,126645043.25314581,1762453.343794484,1776461.0488144069,1854003.0292391377,50452.80000000002
45.7207075,84565.02059200002,27981.07299,1849.6,1360.0,489.6,612.0,3.1897931518365397e-09,5447.4,6685.0,0.0,25.25880638621389,25.5666372614437,25.61297300334298,123126.40208260686,154666.71036402823,170319.6061190146,1798.7848074945286,2261.2031322611265,2489.2399872760207,29436564.900066093,25182705.105451927,120422056.08848988,121366730.39332253,126645043.25314581,1762453.343794484,1776461.0488144069,1854003.0292391377,50452.80000000002
24.627041500000004,-86550.91645036668,-66938.35105045835,-3514.4666666666667,-1340.0,-2174.4666666666667,-2718.0833333333335,0.11572727591706589,5199.466666666666,4753.083333333333,350.0,25.25880638621389,24.93911478187209,22.61187230696291,116863.90201925156,105674.98781769695,38930.21300975472,1705.7440986632987,1541.371383352654,571.6052980687723,29436564.900066093,25182705.105451927,120422056.08848988,121366730.39332253,126645043.25314581,1762453.343794484,1776461.0488144069,1854003.0292391377,50452.80000000002
