date,price,,,,,,
8/1/2024 12:00:00 AM,62.112813,,,,,,
8/1/2024 12:05:00 AM,63.252973,,,,,,
8/1/2024 12:10:00 AM,62.094646,,,,,,
8/1/2024 12:15:00 AM,62.920866,,,,,,
8/1/2024 12:20:00 AM,62.154806,,,,,,
8/1/2024 12:25:00 AM,61.066106,,,,,,
8/1/2024 12:30:00 AM,59.69835,,,,,,
8/1/2024 12:35:00 AM,57.93845,,,,,,
8/1/2024 12:40:00 AM,54.784956,,,,,,
8/1/2024 12:45:00 AM,52.30761,,,,,,
8/1/2024 12:50:00 AM,52.30761,,,,,,
8/1/2024 12:55:00 AM,52.564383,,,,,,
8/1/2024 1:00:00 AM,60.09737,,,,,,
8/1/2024 1:05:00 AM,59.88497,,,,,,
8/1/2024 1:10:00 AM,56.98156,,,,,,
8/1/2024 1:15:00 AM,57.1921,,,,,,
8/1/2024 1:20:00 AM,61.25617,,,,,,
8/1/2024 1:25:00 AM,60.29086,,,,,,
8/1/2024 1:30:00 AM,51.83198,,,,,,
8/1/2024 1:35:00 AM,50.09148,,,,,,
8/1/2024 1:40:00 AM,44.71268,,,,,,
8/1/2024 1:45:00 AM,44.42089,,,,,,
8/1/2024 1:50:00 AM,44.6598,,,,,,
8/1/2024 1:55:00 AM,44.69003,,,,,,
8/1/2024 2:00:00 AM,46.820696,,,,,,
8/1/2024 2:05:00 AM,45.338203,,,,,,
8/1/2024 2:10:00 AM,43.849236,,,,,,
8/1/2024 2:15:00 AM,43.772076,,,,,,
8/1/2024 2:20:00 AM,43.79789,,,,,,
8/1/2024 2:25:00 AM,43.79249,,,,,,
8/1/2024 2:30:00 AM,43.53122,,,,,,
8/1/2024 2:35:00 AM,43.531226,,,,,,
8/1/2024 2:40:00 AM,43.500033,,,,,,
8/1/2024 2:45:00 AM,43.222346,,,,,,
8/1/2024 2:50:00 AM,43.73693,,,,,,
8/1/2024 2:55:00 AM,43.861393,,,,,,
8/1/2024 3:00:00 AM,43.53658,,,,,,
8/1/2024 3:05:00 AM,43.470146,,,,,,
8/1/2024 3:10:00 AM,43.46761,,,,,,
8/1/2024 3:15:00 AM,43.519856,,,,,,
8/1/2024 3:20:00 AM,43.519856,,,,,,
8/1/2024 3:25:00 AM,43.518036,,,,,,
8/1/2024 3:30:00 AM,43.676946,,,,,,
8/1/2024 3:35:00 AM,43.620276,,,,,,
8/1/2024 3:40:00 AM,43.620276,,,,,,
8/1/2024 3:45:00 AM,43.476906,,,,,,
8/1/2024 3:50:00 AM,43.476906,,,,,,
8/1/2024 3:55:00 AM,43.476906,,,,,,
8/1/2024 4:00:00 AM,43.71861,,,,,,
8/1/2024 4:05:00 AM,43.71861,,,,,,
8/1/2024 4:10:00 AM,43.71861,,,,,,
8/1/2024 4:15:00 AM,43.72461,,,,,,
8/1/2024 4:20:00 AM,43.72461,,,,,,
8/1/2024 4:25:00 AM,43.72461,,,,,,
8/1/2024 4:30:00 AM,43.71704,,,,,,
8/1/2024 4:35:00 AM,43.71704,,,,,,
8/1/2024 4:40:00 AM,45.189916,,,,,,
8/1/2024 4:45:00 AM,45.40092,,,,,,
8/1/2024 4:50:00 AM,43.912383,,,,,,
8/1/2024 4:55:00 AM,43.912383,,,,,,
8/1/2024 5:00:00 AM,43.525366,,,,,,
8/1/2024 5:05:00 AM,43.56182,,,,,,
8/1/2024 5:10:00 AM,43.583616,,,,,,
8/1/2024 5:15:00 AM,43.596683,,,,,,
8/1/2024 5:20:00 AM,43.622706,,,,,,
8/1/2024 5:25:00 AM,43.622706,,,,,,
8/1/2024 5:30:00 AM,44.92092,,,,,,
8/1/2024 5:35:00 AM,45.079663,,,,,,
8/1/2024 5:40:00 AM,44.98068,,,,,,
8/1/2024 5:45:00 AM,45.537836,,,,,,
8/1/2024 5:50:00 AM,45.537836,,,,,,
8/1/2024 5:55:00 AM,52.558466,,,,,,
8/1/2024 6:00:00 AM,55.679293,,,,,,
8/1/2024 6:05:00 AM,56.144423,,,,,,
8/1/2024 6:10:00 AM,51.289446,,,,,,
8/1/2024 6:15:00 AM,50.280116,,,,,,
8/1/2024 6:20:00 AM,51.24434,,,,,,
8/1/2024 6:25:00 AM,54.200816,,,,,,
8/1/2024 6:30:00 AM,50.48307,,,,,,
8/1/2024 6:35:00 AM,52.501013,,,,,,
8/1/2024 6:40:00 AM,50.830986,,,,,,
8/1/2024 6:45:00 AM,50.788293,,,,,,
8/1/2024 6:50:00 AM,46.08438,,,,,,
8/1/2024 6:55:00 AM,45.119223,,,,,,
8/1/2024 7:00:00 AM,51.357763,,,,,,
8/1/2024 7:05:00 AM,47.289423,,,,,,
8/1/2024 7:10:00 AM,44.596733,,,,,,
8/1/2024 7:15:00 AM,43.974656,,,,,,
8/1/2024 7:20:00 AM,44.90932,,,,,,
8/1/2024 7:25:00 AM,46.142103,,,,,,
8/1/2024 7:30:00 AM,43.99571,,,,,,
8/1/2024 7:35:00 AM,43.515503,,,,,,
8/1/2024 7:40:00 AM,42.79325,,,,,,
8/1/2024 7:45:00 AM,39.964823,,,,,,
8/1/2024 7:50:00 AM,40.28408,,,,,,
8/1/2024 7:55:00 AM,40.308576,,,,,,
8/1/2024 8:00:00 AM,44.004906,,,,,,
8/1/2024 8:05:00 AM,43.60148,,,,,,
8/1/2024 8:10:00 AM,43.224216,,,,,,
8/1/2024 8:15:00 AM,42.958083,,,,,,
8/1/2024 8:20:00 AM,42.869893,,,,,,
8/1/2024 8:25:00 AM,42.89186,,,,,,
8/1/2024 8:30:00 AM,41.072593,,,,,,
8/1/2024 8:35:00 AM,40.437666,,,,,,
8/1/2024 8:40:00 AM,40.43917,,,,,,
8/1/2024 8:45:00 AM,39.9652,,,,,,
8/1/2024 8:50:00 AM,39.790986,,,,,,
8/1/2024 8:55:00 AM,38.975163,,,,,,
8/1/2024 9:00:00 AM,35.85687,,,,,,
8/1/2024 9:05:00 AM,37.510663,,,,,,
8/1/2024 9:10:00 AM,36.9727,,,,,,
8/1/2024 9:15:00 AM,36.032106,,,,,,
8/1/2024 9:20:00 AM,34.596593,,,,,,
8/1/2024 9:25:00 AM,33.645306,,,,,,
8/1/2024 9:30:00 AM,32.527503,,,,,,
8/1/2024 9:35:00 AM,30.780736,,,,,,
8/1/2024 9:40:00 AM,31.924706,,,,,,
8/1/2024 9:45:00 AM,31.86317,,,,,,
8/1/2024 9:50:00 AM,30.530686,,,,,,
8/1/2024 9:55:00 AM,32.986553,,,,,,
8/1/2024 10:00:00 AM,34.464726,,,,,,
8/1/2024 10:05:00 AM,35.35643,,,,,,
8/1/2024 10:10:00 AM,35.630203,,,,,,
8/1/2024 10:15:00 AM,34.54337,,,,,,
8/1/2024 10:20:00 AM,34.65338,,,,,,
8/1/2024 10:25:00 AM,34.55392,,,,,,
8/1/2024 10:30:00 AM,34.919583,,,,,,
8/1/2024 10:35:00 AM,34.869783,,,,,,
8/1/2024 10:40:00 AM,34.905023,,,,,,
8/1/2024 10:45:00 AM,34.820943,,,,,,
8/1/2024 10:50:00 AM,34.834216,,,,,,
8/1/2024 10:55:00 AM,35.726086,,,,,,
8/1/2024 11:00:00 AM,38.33722,,,,,,
8/1/2024 11:05:00 AM,35.78855,,,,,,
8/1/2024 11:10:00 AM,36.337193,,,,,,
8/1/2024 11:15:00 AM,38.777623,,,,,,
8/1/2024 11:20:00 AM,38.408536,,,,,,
8/1/2024 11:25:00 AM,39.965903,,,,,,
8/1/2024 11:30:00 AM,39.406836,,,,,,
8/1/2024 11:35:00 AM,38.99569,,,,,,
8/1/2024 11:40:00 AM,40.544113,,,,,,
8/1/2024 11:45:00 AM,42.370996,,,,,,
8/1/2024 11:50:00 AM,41.31516,,,,,,
8/1/2024 11:55:00 AM,41.563633,,,,,,
8/1/2024 12:00:00 PM,38.068256,,,,,,
8/1/2024 12:05:00 PM,36.543753,,,,,,
8/1/2024 12:10:00 PM,39.426683,,,,,,
8/1/2024 12:15:00 PM,42.100593,,,,,,
8/1/2024 12:20:00 PM,47.582233,,,,,,
8/1/2024 12:25:00 PM,54.517146,,,,,,
8/1/2024 12:30:00 PM,56.361463,,,,,,
8/1/2024 12:35:00 PM,52.57341,,,,,,
8/1/2024 12:40:00 PM,56.003006,,,,,,
8/1/2024 12:45:00 PM,58.722653,,,,,,
8/1/2024 12:50:00 PM,55.615476,,,,,,
8/1/2024 12:55:00 PM,56.12528,,,,,,
8/1/2024 1:00:00 PM,50.884103,,,,,,
8/1/2024 1:05:00 PM,46.73839,,,,,,
8/1/2024 1:10:00 PM,41.82697,,,,,,
8/1/2024 1:15:00 PM,43.312953,,,,,,
8/1/2024 1:20:00 PM,53.40042,,,,,,
8/1/2024 1:25:00 PM,59.00257,,,,,,
8/1/2024 1:30:00 PM,55.40434,,,,,,
8/1/2024 1:35:00 PM,47.64049,,,,,,
8/1/2024 1:40:00 PM,44.364056,,,,,,
8/1/2024 1:45:00 PM,46.058193,,,,,,
8/1/2024 1:50:00 PM,48.606826,,,,,,
8/1/2024 1:55:00 PM,56.50626,,,,,,
8/1/2024 2:00:00 PM,60.22402,,,,,,
8/1/2024 2:05:00 PM,55.681916,,,,,,
8/1/2024 2:10:00 PM,56.997533,,,,,,
8/1/2024 2:15:00 PM,54.78816,,,,,,
8/1/2024 2:20:00 PM,59.533423,,,,,,
8/1/2024 2:25:00 PM,51.70925,,,,,,
8/1/2024 2:30:00 PM,52.874396,,,,,,
8/1/2024 2:35:00 PM,52.697156,,,,,,
8/1/2024 2:40:00 PM,52.33182,,,,,,
8/1/2024 2:45:00 PM,54.019103,,,,,,
8/1/2024 2:50:00 PM,45.547,,,,,,
8/1/2024 2:55:00 PM,43.34151,,,,,,
8/1/2024 3:00:00 PM,43.810923,,,,,,
8/1/2024 3:05:00 PM,42.45303,,,,,,
8/1/2024 3:10:00 PM,34.153916,,,,,,
8/1/2024 3:15:00 PM,38.47283,,,,,,
8/1/2024 3:20:00 PM,44.734946,,,,,,
8/1/2024 3:25:00 PM,50.080446,,,,,,
8/1/2024 3:30:00 PM,54.2942,,,,,,
8/1/2024 3:35:00 PM,52.285663,,,,,,
8/1/2024 3:40:00 PM,53.756006,,,,,,
8/1/2024 3:45:00 PM,53.971216,,,,,,
8/1/2024 3:50:00 PM,53.204996,,,,,,
8/1/2024 3:55:00 PM,53.95584,,,,,,
