"DateTime","Economic - Local","Economic - System","Self Schedule Cut - Local","Self Schedule Cut - System","Operator Instruction - Local","Operator Instruction - System"
"2026-03-31 00:00:00",0,0.09167,0,0,0,0
"2026-03-31 01:00:00",0,0.15,0,0,0,0
"2026-03-31 02:00:00",0.01667,0.09167,0,0,0,0
"2026-03-31 03:00:00",0,0,0,0,0,0
"2026-03-31 04:00:00",0,0,0,0,0,0
"2026-03-31 05:00:00",0,0,0,0,0,0
"2026-03-31 06:00:00",0,0.0003199,0,0,0,0
"2026-03-31 07:00:00",0.002878,0.01403,0,0,0,0
"2026-03-31 08:00:00",0.08633,0.01937,0,0,0,0
"2026-03-31 09:00:00",9.3,0.02993,0,0,0,0
"2026-03-31 10:00:00",5.586,0.2975,0,0,0,0
"2026-03-31 11:00:00",9.588,0.02983,0,0,0,0
"2026-03-31 12:00:00",0.00557,1.283,0,0,0,0
"2026-03-31 13:00:00",0.005077,13.28,0,0,0,0
"2026-03-31 14:00:00",10.03,0.02788,0,0,0,0
"2026-03-31 15:00:00",0.07267,0.0186,0,0,0,0
"2026-03-31 16:00:00",11.3,0.008534,0,0,0,0
"2026-03-31 17:00:00",13.38,0.0182,0,0,0,0
"2026-03-31 18:00:00",1.455,0.01461,0,0,0,0
"2026-03-31 19:00:00",0.0003877,0.0002479,0,0,0,0
"2026-03-31 20:00:00",0,0,0,0,0,0
"2026-03-31 21:00:00",0,0,0,0,0,0
"2026-03-31 22:00:00",0,0,0,0,0,0
"2026-03-31 23:00:00",0,0,0,0,0,0
