"DateTime","Economic - Local","Economic - System","Self Schedule Cut - Local","Self Schedule Cut - System","Operator Instruction - Local","Operator Instruction - System"
"2026-01-03 00:00:00",0.00001033,0.0001348,0,0,0,0
"2026-01-03 01:00:00",0.00002208,0.0001002,0,0,0,0
"2026-01-03 02:00:00",0,0.00004808,0,0,0,0
"2026-01-03 03:00:00",0.00008242,0.00003083,0,0,0,0
"2026-01-03 04:00:00",0.00001283,0.00001575,0,0,0,0
"2026-01-03 05:00:00",0.00001167,0.00004075,0,0,0,0
"2026-01-03 06:00:00",0.00008617,0.0002714,0,0,0,0
"2026-01-03 07:00:00",0.09811,0.2871,0,0,0,0
"2026-01-03 08:00:00",0.09894,0.5714,0,0,0,0
"2026-01-03 09:00:00",0.2973,0.2871,0,0,0,0
"2026-01-03 10:00:00",0.103,0.4813,0,0,0,0
"2026-01-03 11:00:00",0.8286,1.473,0,0,0,0
"2026-01-03 12:00:00",0,1.201,0,0,0,0
"2026-01-03 13:00:00",5.535,0.01736,0,0,0,0
"2026-01-03 14:00:00",5.476,0.0213,0,0,0,0
"2026-01-03 15:00:00",29.64,0.3221,0,0,0,0
"2026-01-03 16:00:00",5.381,0.03978,0,0,0,0
"2026-01-03 17:00:00",2.051,0.0001048,0,0,0,0
"2026-01-03 18:00:00",0.00001725,0.00003217,0,0,0,0
"2026-01-03 19:00:00",0.00002575,0.0001282,0,0,0,0
"2026-01-03 20:00:00",0.00002492,0.0001541,0,0,0,0
"2026-01-03 21:00:00",0,0.0001784,0,0,0,0
"2026-01-03 22:00:00",0.0000415,0.0001307,0,0,0,0
"2026-01-03 23:00:00",0.00003925,0.00005783,0,0,0,0
