"DateTime","Economic - Local","Economic - System","Self Schedule Cut - Local","Self Schedule Cut - System","Operator Instruction - Local","Operator Instruction - System"
"2026-01-31 00:00:00",0,0,0,0,0,0
"2026-01-31 01:00:00",0,0,0,0,0,0
"2026-01-31 02:00:00",0,0,0,0,0,0
"2026-01-31 03:00:00",0,0,0,0,0,0
"2026-01-31 04:00:00",0,0,0,0,0,0
"2026-01-31 05:00:00",0,0,0,0,0,0
"2026-01-31 06:00:00",0.00003754,0.0001049,0,0,0,0
"2026-01-31 07:00:00",5.833,1.165,0,0,0,0
"2026-01-31 08:00:00",152.3,0.6549,0,0,0,0
"2026-01-31 09:00:00",88.6,0.006745,0,0,0,0
"2026-01-31 10:00:00",76.21,0.007482,0,0,0,0
"2026-01-31 11:00:00",29.44,2.413,0.4467,0,0,0
"2026-01-31 12:00:00",45.24,3.432,0,0,0,0
"2026-01-31 13:00:00",315.9,3.93,0,0,0,0
"2026-01-31 14:00:00",366.3,9.634,0,0,0,0
"2026-01-31 15:00:00",238.7,841.6,0.004167,0.005,0,0
"2026-01-31 16:00:00",9.746,0.8587,0.5428,0.0025,0,0
"2026-01-31 17:00:00",29.86,0.0001174,0,0,0,0
"2026-01-31 18:00:00",34.74,0,0,0,0,0
"2026-01-31 19:00:00",22.37,0,0,0,0,0
"2026-01-31 20:00:00",3.516,0,0,0,0,0
"2026-01-31 21:00:00",0,0,0,0,0,0
"2026-01-31 22:00:00",0,0.005,0,0,0,0
"2026-01-31 23:00:00",0.005,0.009167,0,0,0,0
