"DateTime","Economic - Local","Economic - System","Self Schedule Cut - Local","Self Schedule Cut - System","Operator Instruction - Local","Operator Instruction - System"
"2026-01-01 00:00:00",3.435,15.13,0,0,0,0
"2026-01-01 01:00:00",0,0.00008858,0,0,0,0
"2026-01-01 02:00:00",0,0,0,0,0,0
"2026-01-01 03:00:00",0.0001275,0.0001639,0,0,0,0
"2026-01-01 04:00:00",0.00008217,0.00009625,0,0,0,0
"2026-01-01 05:00:00",0,0.0000295,0,0,0,0
"2026-01-01 06:00:00",0.00006833,0.00005194,0,0,0,0
"2026-01-01 07:00:00",0.00376,0.004561,0,0,0,0
"2026-01-01 08:00:00",0.01158,0.01544,0,0,0,0
"2026-01-01 09:00:00",0.007626,0.0252,0,0,0,0
"2026-01-01 10:00:00",0.003242,0.03361,0,0,0,0
"2026-01-01 11:00:00",0.01409,0.0196,0,0,0,0
"2026-01-01 12:00:00",18.75,0.02381,0,0,0,0
"2026-01-01 13:00:00",4.163,1.425,0,0,0,0
"2026-01-01 14:00:00",3.882,0.03082,0,0,0,0
"2026-01-01 15:00:00",27.16,0.6537,0.0225,0,0,0
"2026-01-01 16:00:00",13.39,0.004234,0,0,0,0
"2026-01-01 17:00:00",8.939,0.00002883,0,0,0,0
"2026-01-01 18:00:00",5.491,0.00005592,0,0,0,0
"2026-01-01 19:00:00",0.0001194,0.00003467,0,0,0,0
"2026-01-01 20:00:00",7.475,0.0002517,0,0,0,0
"2026-01-01 21:00:00",7.62,0.00007142,0,0,0,0
"2026-01-01 22:00:00",0,0.00002783,0,0,0,0
"2026-01-01 23:00:00",0.000035,0.000087,0,0,0,0
